,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9972747514919911,0.002725248508008954,0.5078756917837378,0.7409937888198758,0.3863341968911917,"[[844858    417]
 [  1895   1193]]"
ExtraTrees,0.999962280297467,3.77197025329959e-05,0.9948186528497409,0.9948186528497409,0.9948186528497409,"[[845259     16]
 [    16   3072]]"
LDA,0.9955019254729403,0.004498074527059761,0.5609756097560976,0.43504639543183443,0.7895077720207254,"[[842109   3166]
 [   650   2438]]"
QDA,0.9935322497562954,0.00646775024370464,0.5248939302104079,0.35823188748374896,0.9815414507772021,"[[839845   5430]
 [    57   3031]]"
DecisionTree,0.9999375267426798,6.247325732027446e-05,0.991414223230196,0.9918962722852512,0.9909326424870466,"[[845250     25]
 [    28   3060]]"
RandomForest,0.999977603926621,2.2396073378966315e-05,0.9969180859691809,0.9987000324991875,0.9951424870466321,"[[845271      4]
 [    15   3073]]"
GradientBoosting,0.9981705944271497,0.0018294055728503011,0.787688098495212,0.6819043107531976,0.9323186528497409,"[[843932   1343]
 [   209   2879]]"
KNeighbors,0.9999434204462005,5.657955379949385e-05,0.9922430510665805,0.9903225806451613,0.9941709844559585,"[[845245     30]
 [    18   3070]]"
GaussianNB,0.8172574711532681,0.1827425288467319,0.038203362491469696,0.019474769452631845,0.9970854922279793,"[[690252 155023]
 [     9   3079]]"
Perceptron,0.9978193296973111,0.0021806703026888254,0.5772394881170019,0.9805900621118012,0.40900259067357514,"[[845250     25]
 [  1825   1263]]"
AdaBoost,0.999902164521555,9.783547844495812e-05,0.9865194088029885,0.9895731508634734,0.9834844559585493,"[[845243     32]
 [    51   3037]]"
