,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9972747514919911,0.002725248508008954,0.5078756917837378,0.7409937888198758,0.3863341968911917,"[[844858    417]
 [  1895   1193]]"
ExtraTrees,0.9999658165195795,3.418348042052753e-05,0.9953021221448243,0.9957860615883306,0.9948186528497409,"[[845262     13]
 [    16   3072]]"
LDA,0.9955019254729403,0.004498074527059761,0.5609756097560976,0.43504639543183443,0.7895077720207254,"[[842109   3166]
 [   650   2438]]"
QDA,0.9935322497562954,0.00646775024370464,0.5248939302104079,0.35823188748374896,0.9815414507772021,"[[839845   5430]
 [    57   3031]]"
DecisionTree,0.9999292755577507,7.07244422493673e-05,0.9902818270165209,0.990602721970188,0.989961139896373,"[[845246     29]
 [    31   3057]]"
RandomForest,0.9999752464452127,2.4753554787278558e-05,0.996591462424931,0.9990237552879921,0.9941709844559585,"[[845272      3]
 [    18   3070]]"
GradientBoosting,0.9992031712839905,0.0007968287160095384,0.8795867474171714,0.9774346793349169,0.7995466321243523,"[[845218     57]
 [   619   2469]]"
KNeighbors,0.9999434204462005,5.657955379949385e-05,0.9922430510665805,0.9903225806451613,0.9941709844559585,"[[845245     30]
 [    18   3070]]"
GaussianNB,0.8172574711532681,0.1827425288467319,0.038203362491469696,0.019474769452631845,0.9970854922279793,"[[690252 155023]
 [     9   3079]]"
Perceptron,0.9978193296973111,0.0021806703026888254,0.5772394881170019,0.9805900621118012,0.40900259067357514,"[[845250     25]
 [  1825   1263]]"
AdaBoost,0.999902164521555,9.783547844495812e-05,0.9865194088029885,0.9895731508634734,0.9834844559585493,"[[845243     32]
 [    51   3037]]"
