,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.979207013978686,0.020792986021313988,0.8602949329193924,0.949046811931014,0.7867230615467068,"[[776410   2916]
 [ 14724  54313]]"
ExtraTrees,0.9991112295090663,0.0008887704909337159,0.9945380525332136,0.994739816545668,0.9943363703521301,"[[778963    363]
 [   391  68646]]"
LDA,0.9630959860342801,0.036904013965719865,0.7395341098169718,0.8687137188984226,0.643799701609282,"[[772609   6717]
 [ 24591  44446]]"
QDA,0.9867886741878182,0.013211325812181814,0.9246460218639487,0.8627871670368,0.9960600837232209,"[[768390  10936]
 [   272  68765]]"
DecisionTree,0.9997123872681859,0.0002876127318140937,0.9982328828633091,0.9982039657594762,0.9982618016425975,"[[779202    124]
 [   120  68917]]"
RandomForest,0.9995520785324207,0.00044792146757932633,0.9972450991764297,0.9982438061510327,0.9962483885452729,"[[779205    121]
 [   259  68778]]"
GradientBoosting,0.9994023784629928,0.0005976215370071538,0.9963321734223644,0.9952162099664701,0.9974506424091429,"[[778995    331]
 [   176  68861]]"
KNeighbors,0.997350190897057,0.002649809102942962,0.9838289668666466,0.9772210869285622,0.9905268189521561,"[[777732   1594]
 [   654  68383]]"
GaussianNB,0.8556525921097454,0.14434740789025452,0.5289549299350317,0.3601049566346839,0.9959442038327274,"[[657147 122179]
 [   280  68757]]"
Perceptron,0.9687256516373298,0.03127434836267023,0.7636094727275967,0.9919446309113215,0.6207251184147631,"[[778978    348]
 [ 26184  42853]]"
AdaBoost,0.9982424976101032,0.0017575023898967776,0.9892652723280175,0.9834521457814424,0.9951475295855845,"[[778170   1156]
 [   335  68702]]"
