,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9991312681010369,0.0008687318989630618,0.7671406003159558,0.8013201320132013,0.7357575757575757,"[[846412    301]
 [   436   1214]]"
ExtraTrees,0.9999198456321173,8.015436788261629e-05,0.9796529024536206,0.9674940898345153,0.9921212121212121,"[[846658     55]
 [    13   1637]]"
LDA,0.9966288015861134,0.0033711984138865086,0.4717399335057259,0.33926673751328373,0.7739393939393939,"[[844226   2487]
 [   373   1277]]"
QDA,0.9889952767859984,0.011004723214001554,0.2597526165556613,0.14942528735632185,0.9927272727272727,"[[837389   9324]
 [    12   1638]]"
DecisionTree,0.9999445991869047,5.540081309533773e-05,0.9857705116560702,0.984875983061101,0.9866666666666667,"[[846688     25]
 [    22   1628]]"
RandomForest,0.9999363480019756,6.365199802443059e-05,0.9837837837837838,0.975,0.9927272727272727,"[[846671     42]
 [    12   1638]]"
GradientBoosting,0.9985749024886752,0.0014250975113247514,0.4234620886981402,0.9932885906040269,0.2690909090909091,"[[846710      3]
 [  1206    444]]"
KNeighbors,0.9999434204462005,5.657955379949385e-05,0.985524728588661,0.9807923169267707,0.9903030303030304,"[[846681     32]
 [    16   1634]]"
GaussianNB,0.7133691591924683,0.2866308408075317,0.01338921640625317,0.006739728041761805,1.0,"[[603546 243167]
 [     0   1650]]"
Perceptron,0.9990534712145627,0.0009465287854373658,0.7072548304775793,0.8874656907593779,0.5878787878787879,"[[846590    123]
 [   680    970]]"
AdaBoost,0.999917488150709,8.251184929092853e-05,0.9790544584081389,0.966903073286052,0.9915151515151515,"[[846657     56]
 [    14   1636]]"
