,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9971321238667882,0.0028678761332118444,0.0,0.0,0.0,"[[845930     53]
 [  2380      0]]"
ExtraTrees,0.9999988212592958,1.1787407041561218e-06,0.9997898718218113,1.0,0.9995798319327731,"[[845983      0]
 [     1   2379]]"
LDA,0.9804446917180499,0.01955530828195006,0.12481536189069424,0.07136824324324324,0.4970588235294118,"[[830590  15393]
 [  1197   1183]]"
QDA,0.999962280297467,3.77197025329959e-05,0.9932375316990701,0.9991496598639455,0.9873949579831933,"[[845981      2]
 [    30   2350]]"
DecisionTree,0.9999941062964792,5.8937035207806095e-06,0.9989502414444678,0.9983214435585397,0.9995798319327731,"[[845979      4]
 [     1   2379]]"
RandomForest,0.9999964637778875,3.5362221124683655e-06,0.9993696154654339,0.9995796553173603,0.9991596638655462,"[[845982      1]
 [     2   2378]]"
Bagging,0.9999976425185917,2.3574814083122436e-06,0.9995798319327731,0.9995798319327731,0.9995798319327731,"[[845982      1]
 [     1   2379]]"
GradientBoosting,0.9999964637778875,3.5362221124683655e-06,0.9993698802772527,0.999160016799664,0.9995798319327731,"[[845981      2]
 [     1   2379]]"
KNeighbors,0.9999658165195795,3.418348042052753e-05,0.9939241567148543,0.9912244045131634,0.9966386554621849,"[[845962     21]
 [     8   2372]]"
GaussianNB,0.9589845384581835,0.041015461541816414,0.12006878413918673,0.06387902271014961,0.9974789915966387,"[[811193  34790]
 [     6   2374]]"
Perceptron,0.9993092579473645,0.0006907420526354874,0.8882106066386876,0.8134171907756813,0.9781512605042016,"[[845449    534]
 [    52   2328]]"
AdaBoost,0.9999952850371834,4.714962816624487e-06,0.999160016799664,0.9987405541561712,0.9995798319327731,"[[845980      3]
 [     1   2379]]"
