,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9999964637778875,3.5362221124683655e-06,0.0,0.0,0.0,"[[848360      0]
 [     3      0]]"
ExtraTrees,1.0,0.0,1.0,1.0,1.0,"[[848360      0]
 [     0      3]]"
LDA,0.9999823188894377,1.7681110562341826e-05,0.2857142857142857,0.16666666666666666,1.0,"[[848345     15]
 [     0      3]]"
QDA,0.9999964637778875,3.5362221124683655e-06,0.0,0.0,0.0,"[[848360      0]
 [     3      0]]"
DecisionTree,1.0,0.0,1.0,1.0,1.0,"[[848360      0]
 [     0      3]]"
RandomForest,1.0,0.0,1.0,1.0,1.0,"[[848360      0]
 [     0      3]]"
Bagging,0.9999988212592958,1.1787407041561218e-06,0.8571428571428571,0.75,1.0,"[[848359      1]
 [     0      3]]"
GradientBoosting,1.0,0.0,1.0,1.0,1.0,"[[848360      0]
 [     0      3]]"
KNeighbors,1.0,0.0,1.0,1.0,1.0,"[[848360      0]
 [     0      3]]"
GaussianNB,1.0,0.0,1.0,1.0,1.0,"[[848360      0]
 [     0      3]]"
Perceptron,1.0,0.0,1.0,1.0,1.0,"[[848360      0]
 [     0      3]]"
AdaBoost,1.0,0.0,1.0,1.0,1.0,"[[848360      0]
 [     0      3]]"
