,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.980029774990187,0.019970225009813016,0.8384106212921809,0.7683244471637095,0.922566696752797,"[[787469  13253]
 [  3689  43952]]"
ExtraTrees,0.9999387054833839,6.129451661611833e-05,0.9994542744999265,0.9994123202854445,0.9994962322369387,"[[800694     28]
 [    24  47617]]"
LDA,0.9705633083951092,0.02943669160489083,0.7637481670687291,0.6951984017635713,0.847295396822065,"[[783024  17698]
 [  7275  40366]]"
QDA,0.9994495280911591,0.0005504719088409089,0.9951048731145375,0.9938651591289782,0.9963476837178061,"[[800429    293]
 [   174  47467]]"
DecisionTree,0.9999587440753546,4.1255924645464264e-05,0.9996326886143965,0.9995802375855266,0.9996851451480867,"[[800702     20]
 [    15  47626]]"
RandomForest,0.9996994211204402,0.0003005788795598111,0.9973302063593438,0.9949239639037433,0.9997481161184694,"[[800479    243]
 [    12  47629]]"
GradientBoosting,0.9999292755577507,7.07244422493673e-05,0.9993700655131866,0.9997269309135212,0.9990134547973384,"[[800709     13]
 [    47  47594]]"
KNeighbors,0.9993163303915894,0.0006836696084105507,0.9939205903316423,0.9926512153759186,0.9951932159274575,"[[800371    351]
 [   229  47412]]"
GaussianNB,0.9756648981626969,0.024335101837303134,0.8215011369629688,0.6984474697874092,0.9971872966562415,"[[780211  20511]
 [   134  47507]]"
Perceptron,0.9851690844603077,0.014830915539692326,0.8829994978519221,0.7926607342604804,0.9965785772758758,"[[788303  12419]
 [   163  47478]]"
AdaBoost,0.9993740886860931,0.0006259113139069007,0.9944407801752567,0.9920001670983374,0.9968934321277891,"[[800339    383]
 [   148  47493]]"
