,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9994672092017214,0.0005327907982785671,0.0,0.0,0.0,"[[847911      0]
 [   452      0]]"
ExtraTrees,0.9998314400793057,0.00016855992069432542,0.8419889502762431,0.8410596026490066,0.8429203539823009,"[[847839     72]
 [    71    381]]"
LDA,0.9840528170134718,0.015947182986528172,0.05199355335996076,0.02684709457992619,0.8207964601769911,"[[834463  13448]
 [    81    371]]"
QDA,0.9987682159641569,0.0012317840358431473,0.4593895499224004,0.299797434166104,0.9823008849557522,"[[846874   1037]
 [     8    444]]"
DecisionTree,0.9998444062270514,0.00015559377294860807,0.8530066815144766,0.8587443946188341,0.8473451327433629,"[[847848     63]
 [    69    383]]"
RandomForest,0.999856193634093,0.00014380636590704686,0.8647450110864745,0.8666666666666667,0.8628318584070797,"[[847851     60]
 [    62    390]]"
Bagging,0.9998609085969096,0.00013909140309042238,0.864367816091954,0.8995215311004785,0.831858407079646,"[[847869     42]
 [    76    376]]"
GradientBoosting,0.9936218340498112,0.006378165950188776,0.0,0.0,0.0,"[[842952   4959]
 [   452      0]]"
KNeighbors,0.9994907840158046,0.0005092159841954447,0.25517241379310346,0.578125,0.16371681415929204,"[[847857     54]
 [   378     74]]"
GaussianNB,0.9005449318275314,0.09945506817246863,0.01055421347655792,0.005305227417415293,0.995575221238938,"[[763539  84372]
 [     2    450]]"
Perceptron,0.9994518855725674,0.0005481144274325966,0.0,0.0,0.0,"[[847898     13]
 [   452      0]]"
AdaBoost,0.9995308611997459,0.00046913880025413647,0.3161512027491409,0.7076923076923077,0.20353982300884957,"[[847873     38]
 [   360     92]]"
