,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9994672092017214,0.0005327907982785671,0.0,0.0,0.0,"[[847911      0]
 [   452      0]]"
ExtraTrees,0.9998267251164891,0.0001732748835109499,0.8382838283828383,0.8336980306345733,0.8429203539823009,"[[847835     76]
 [    71    381]]"
LDA,0.9840528170134718,0.015947182986528172,0.05199355335996076,0.02684709457992619,0.8207964601769911,"[[834463  13448]
 [    81    371]]"
QDA,0.9987729309269735,0.0012270690730265229,0.46257098606091895,0.30168350168350166,0.9911504424778761,"[[846874   1037]
 [     4    448]]"
DecisionTree,0.9998526574119805,0.00014734258801951523,0.8597081930415263,0.8724373576309795,0.8473451327433629,"[[847855     56]
 [    69    383]]"
RandomForest,0.999864444819022,0.00013555518097795402,0.8720800889877642,0.8769574944071589,0.8672566371681416,"[[847856     55]
 [    60    392]]"
GradientBoosting,0.9936218340498112,0.006378165950188776,0.0,0.0,0.0,"[[842952   4959]
 [   452      0]]"
KNeighbors,0.9994907840158046,0.0005092159841954447,0.25517241379310346,0.578125,0.16371681415929204,"[[847857     54]
 [   378     74]]"
GaussianNB,0.9005449318275314,0.09945506817246863,0.01055421347655792,0.005305227417415293,0.995575221238938,"[[763539  84372]
 [     2    450]]"
Perceptron,0.9994518855725674,0.0005481144274325966,0.0,0.0,0.0,"[[847898     13]
 [   452      0]]"
AdaBoost,0.9995308611997459,0.00046913880025413647,0.3161512027491409,0.7076923076923077,0.20353982300884957,"[[847873     38]
 [   360     92]]"
