,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9999929275557751,7.072444224936731e-06,0.0,0.0,0.0,"[[848357      0]
 [     6      0]]"
ExtraTrees,0.9999952850371834,4.714962816624487e-06,0.5,1.0,0.3333333333333333,"[[848357      0]
 [     4      2]]"
LDA,0.9978464407335068,0.002153559266493235,0.002184598580010923,0.001095890410958904,0.3333333333333333,"[[846534   1823]
 [     4      2]]"
QDA,0.9999929275557751,7.072444224936731e-06,0.0,0.0,0.0,"[[848357      0]
 [     6      0]]"
DecisionTree,0.9999952850371834,4.714962816624487e-06,0.6666666666666666,0.6666666666666666,0.6666666666666666,"[[848355      2]
 [     2      4]]"
RandomForest,0.9999941062964792,5.8937035207806095e-06,0.2857142857142857,1.0,0.16666666666666666,"[[848357      0]
 [     5      1]]"
GradientBoosting,0.9996793825284696,0.00032061747153046516,0.02158273381294964,0.011029411764705883,0.5,"[[848088    269]
 [     3      3]]"
KNeighbors,0.9999964637778875,3.5362221124683655e-06,0.7272727272727273,0.8,0.6666666666666666,"[[848356      1]
 [     2      4]]"
GaussianNB,0.9996723100842446,0.0003276899157554019,0.041379310344827586,0.02112676056338028,1.0,"[[848079    278]
 [     0      6]]"
Perceptron,0.9999929275557751,7.072444224936731e-06,0.0,0.0,0.0,"[[848357      0]
 [     6      0]]"
AdaBoost,0.9999988212592958,1.1787407041561218e-06,0.9090909090909091,1.0,0.8333333333333334,"[[848357      0]
 [     1      5]]"
