,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9997689668219853,0.0002310331780145999,0.0,0.0,0.0,"[[848167      0]
 [   196      0]]"
ExtraTrees,0.9998420487456431,0.00015795125435692033,0.6035502958579881,0.7183098591549296,0.5204081632653061,"[[848127     40]
 [    94    102]]"
LDA,0.985556890151975,0.014443109848024962,0.029465346534653464,0.014965001206854936,0.9489795918367347,"[[835924  12243]
 [    10    186]]"
QDA,0.9993104366880686,0.0006895633119313313,0.39378238341968913,0.247074122236671,0.9693877551020408,"[[847588    579]
 [     6    190]]"
DecisionTree,0.9998620873376137,0.00013791266238626627,0.7139364303178484,0.6854460093896714,0.7448979591836735,"[[848100     67]
 [    50    146]]"
RandomForest,0.9998573723747971,0.00014262762520289075,0.6532951289398281,0.7450980392156863,0.5816326530612245,"[[848128     39]
 [    82    114]]"
Bagging,0.9998514786712763,0.00014852132872367134,0.6802030456852792,0.6767676767676768,0.6836734693877551,"[[848103     64]
 [    62    134]]"
GradientBoosting,0.999040505066817,0.0009594949331830832,0.31596638655462184,0.1891348088531187,0.9591836734693877,"[[847361    806]
 [     8    188]]"
KNeighbors,0.9997347833415648,0.0002652166584351274,0.05063291139240506,0.14634146341463414,0.030612244897959183,"[[848132     35]
 [   190      6]]"
GaussianNB,0.9002384592444508,0.09976154075554922,0.004469852024372456,0.0022400905468178923,0.9693877551020408,"[[763539  84628]
 [     6    190]]"
Perceptron,0.9997689668219853,0.0002310331780145999,0.0,0.0,0.0,"[[848167      0]
 [   196      0]]"
AdaBoost,0.9997713243033937,0.00022867569660628764,0.03,0.75,0.015306122448979591,"[[848166      1]
 [   193      3]]"
