,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9997689668219853,0.0002310331780145999,0.0,0.0,0.0,"[[848167      0]
 [   196      0]]"
ExtraTrees,0.9998455849677556,0.00015441503224445196,0.622478386167147,0.7152317880794702,0.5510204081632653,"[[848124     43]
 [    88    108]]"
LDA,0.985556890151975,0.014443109848024962,0.029465346534653464,0.014965001206854936,0.9489795918367347,"[[835924  12243]
 [    10    186]]"
QDA,0.99953203994045,0.00046796005954998036,0.48774193548387096,0.32642487046632124,0.9642857142857143,"[[847777    390]
 [     7    189]]"
DecisionTree,0.9998573723747971,0.00014262762520289075,0.7041564792176039,0.676056338028169,0.7346938775510204,"[[848098     69]
 [    52    144]]"
RandomForest,0.999864444819022,0.00013555518097795402,0.670487106017192,0.7647058823529411,0.5969387755102041,"[[848131     36]
 [    79    117]]"
GradientBoosting,0.999040505066817,0.0009594949331830832,0.31596638655462184,0.1891348088531187,0.9591836734693877,"[[847361    806]
 [     8    188]]"
KNeighbors,0.9997347833415648,0.0002652166584351274,0.05063291139240506,0.14634146341463414,0.030612244897959183,"[[848132     35]
 [   190      6]]"
GaussianNB,0.9002384592444508,0.09976154075554922,0.004469852024372456,0.0022400905468178923,0.9693877551020408,"[[763539  84628]
 [     6    190]]"
Perceptron,0.9997689668219853,0.0002310331780145999,0.0,0.0,0.0,"[[848167      0]
 [   196      0]]"
AdaBoost,0.9997713243033937,0.00022867569660628764,0.03,0.75,0.015306122448979591,"[[848166      1]
 [   193      3]]"
