,attack,model,accuracy,f1,precision,recall
0,Bot,Bagging,0.999,0.981,0.9780033840947546,0.9846678023850084
1,DDoS,ExtraTrees,0.999,0.999,0.9997916666666666,0.999583420120808
2,DoS GoldenEye,RandomForest,0.999,0.996,0.9990240728692258,0.9944948186528496
3,DoS Hulk,DecisionTree,0.999,0.998,0.99818950783581,0.9982618016425976
4,DoS Slowhttptest,Bagging,0.999,0.986,0.988449848024316,0.9854545454545456
5,DoS slowloris,ExtraTrees,0.999,0.996,0.998268897864974,0.9948246118458884
6,FTP-Patator,ExtraTrees,0.999,0.999,1.0,0.9995798319327732
7,Heartbleed,ExtraTrees,1.0,1.0,1.0,1.0
8,Infiltration,DecisionTree,0.999,0.8,0.8888888888888888,0.7272727272727273
9,PortScan,ExtraTrees,0.999,0.999,0.9994123079506338,0.999475241913478
10,SSH-Patator,ExtraTrees,0.999,0.996,0.9982973893303064,0.9943470887507068
11,Web Attack-Brute Force,RandomForest,0.999,0.864,0.8666666666666667,0.8628318584070797
12,Web Attack-Sql Injection,AdaBoost,0.999,0.909,1.0,0.8333333333333334
13,Web Attack-XSS,DecisionTree,0.999,0.713,0.6854460093896714,0.7448979591836735
