,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9996857886704372,0.00031421132956279736,0.96875,0.9559471365638766,0.9819004524886876,"[[44325    10]
 [    4   217]]"
ExtraTrees,0.9999775563336026,2.244366639734267e-05,0.9977324263038548,1.0,0.995475113122172,"[[44335     0]
 [    1   220]]"
LDA,0.9965885627076039,0.003411437292396086,0.7019607843137254,0.6193771626297578,0.8099547511312217,"[[44225   110]
 [   42   179]]"
QDA,0.9828081515396355,0.017191848460364485,0.3648424543946932,0.2233502538071066,0.995475113122172,"[[43570   765]
 [    1   220]]"
DecisionTree,0.9999775563336026,2.244366639734267e-05,0.9977324263038548,1.0,0.995475113122172,"[[44335     0]
 [    1   220]]"
RandomForest,0.9999775563336026,2.244366639734267e-05,0.9977324263038548,1.0,0.995475113122172,"[[44335     0]
 [    1   220]]"
Bagging,0.9999551126672053,4.488733279468534e-05,0.9954545454545456,1.0,0.990950226244344,"[[44335     0]
 [    2   219]]"
GradientBoosting,0.9979800700242392,0.0020199299757608404,0.7815533980582524,0.8429319371727748,0.7285067873303167,"[[44305    30]
 [   60   161]]"
KNeighbors,0.9998877816680133,0.00011221833198671335,0.9886104783599088,0.9954128440366972,0.9819004524886876,"[[44334     1]
 [    4   217]]"
GaussianNB,0.9465616303079271,0.0534383696920729,0.1559730591988656,0.0846153846153846,0.995475113122172,"[[41955  2380]
 [    1   220]]"
Perceptron,0.9998877816680133,0.00011221833198671335,0.9887133182844244,0.9864864864864864,0.990950226244344,"[[44332     3]
 [    2   219]]"
AdaBoost,0.9999775563336026,2.244366639734267e-05,0.9977324263038548,1.0,0.995475113122172,"[[44335     0]
 [    1   220]]"
LSTM,[0.9950348138809204],[0.022922756150364876],0.0,0.0,0.0,"[[44289     0]
 [  221     0]]"
