,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9921447167609301,0.007855283239069935,0.24242424242424243,0.835820895522388,0.14177215189873418,"[[44150    11]
 [  339    56]]"
ExtraTrees,0.9999775563336026,2.244366639734267e-05,0.9987325728770595,1.0,0.9974683544303797,"[[44161     0]
 [    1   394]]"
LDA,0.9822021725469072,0.017797827453092736,0.36305220883534134,0.26588235294117646,0.5721518987341773,"[[43537   624]
 [  169   226]]"
QDA,0.9198985546278841,0.08010144537211598,0.18010567424764531,0.09903991915108641,0.9924050632911392,"[[40595  3566]
 [    3   392]]"
DecisionTree,0.999932669000808,6.733099919202801e-05,0.9962073324905183,0.9949494949494949,0.9974683544303797,"[[44159     2]
 [    1   394]]"
RandomForest,1.0,0.0,1.0,1.0,1.0,"[[44161     0]
 [    0   395]]"
GradientBoosting,0.9999775563336026,2.244366639734267e-05,0.9987325728770595,1.0,0.9974683544303797,"[[44161     0]
 [    1   394]]"
KNeighbors,0.9985636053505701,0.001436394649429931,0.9189873417721519,0.9189873417721519,0.9189873417721519,"[[44129    32]
 [   32   363]]"
GaussianNB,0.8985097405512165,0.10149025944878355,0.14775725593667546,0.07982081042557523,0.9924050632911392,"[[39642  4519]
 [    3   392]]"
Perceptron,0.9938728790735255,0.006127120926474549,0.4780114722753346,0.9765625,0.31645569620253167,"[[44158     3]
 [  270   125]]"
AdaBoost,1.0,0.0,1.0,1.0,1.0,"[[44161     0]
 [    0   395]]"
