,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9996633450040399,0.00033665499596014,0.0,0.0,0.0,"[[44541     0]
 [   15     0]]"
ExtraTrees,0.9998204506688213,0.00017954933117874137,0.6666666666666666,0.8888888888888888,0.5333333333333333,"[[44540     1]
 [    7     8]]"
LDA,0.9990798096777089,0.0009201903222910495,0.3050847457627119,0.20454545454545456,0.6,"[[44506    35]
 [    6     9]]"
QDA,0.9997306760032318,0.00026932399676811203,0.5,0.6666666666666666,0.4,"[[44538     3]
 [    9     6]]"
DecisionTree,0.9997980070024239,0.00020199299757608404,0.7096774193548387,0.6875,0.7333333333333333,"[[44536     5]
 [    4    11]]"
RandomForest,0.9997980070024239,0.00020199299757608404,0.5714285714285714,1.0,0.4,"[[44541     0]
 [    9     6]]"
Bagging,0.9998428943352186,0.00015710566478139868,0.72,0.9,0.6,"[[44540     1]
 [    6     9]]"
GradientBoosting,0.99822695035461,0.0017730496453900709,0.18556701030927836,0.10975609756097561,0.6,"[[44468    73]
 [    6     9]]"
KNeighbors,0.9997082323368346,0.0002917676631654547,0.3157894736842105,0.75,0.2,"[[44540     1]
 [   12     3]]"
GaussianNB,0.9631699434419607,0.03683005655803932,0.014414414414414415,0.007272727272727273,0.8,"[[42903  1638]
 [    3    12]]"
Perceptron,0.9996633450040399,0.00033665499596014,0.0,0.0,0.0,"[[44541     0]
 [   15     0]]"
AdaBoost,0.9998204506688213,0.00017954933117874137,0.6666666666666666,0.8888888888888888,0.5333333333333333,"[[44540     1]
 [    7     8]]"
LSTM,[0.9996629953384399],[0.0049848007038235664],0.0,0.0,0.0,"[[44495     0]
 [   15     0]]"
