,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.999932669000808,6.733099919202801e-05,0.0,0.0,0.0,"[[44553     0]
 [    3     0]]"
ExtraTrees,0.9999775563336026,2.244366639734267e-05,0.8,1.0,0.6666666666666666,"[[44553     0]
 [    1     2]]"
LDA,0.9997531196696292,0.00024688033037076936,0.15384615384615385,0.1,0.3333333333333333,"[[44544     9]
 [    2     1]]"
QDA,0.9999102253344107,8.977466558937069e-05,0.0,0.0,0.0,"[[44552     1]
 [    3     0]]"
DecisionTree,0.9999551126672053,4.488733279468534e-05,0.6666666666666666,0.6666666666666666,0.6666666666666666,"[[44552     1]
 [    1     2]]"
RandomForest,0.9999775563336026,2.244366639734267e-05,0.8,1.0,0.6666666666666666,"[[44553     0]
 [    1     2]]"
GradientBoosting,0.9999551126672053,4.488733279468534e-05,0.5,1.0,0.3333333333333333,"[[44553     0]
 [    2     1]]"
KNeighbors,0.999932669000808,6.733099919202801e-05,0.0,0.0,0.0,"[[44553     0]
 [    3     0]]"
GaussianNB,0.9805413412335039,0.019458658766496096,0.006872852233676976,0.0034482758620689655,1.0,"[[43686   867]
 [    0     3]]"
Perceptron,0.9999551126672053,4.488733279468534e-05,0.5,1.0,0.3333333333333333,"[[44553     0]
 [    2     1]]"
AdaBoost,0.9999102253344107,8.977466558937069e-05,0.3333333333333333,0.3333333333333333,0.3333333333333333,"[[44551     2]
 [    2     1]]"
