,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9992593590088877,0.0007406409911123081,0.9568627450980393,0.9631578947368421,0.9506493506493506,"[[44157    14]
 [   19   366]]"
ExtraTrees,0.9998653380016159,0.00013466199838405601,0.9921875,0.9947780678851175,0.9896103896103896,"[[44169     2]
 [    4   381]]"
LDA,0.9955785977197235,0.004421402280276506,0.7941483803552769,0.6643356643356644,0.987012987012987,"[[43979   192]
 [    5   380]]"
QDA,0.9979800700242392,0.0020199299757608404,0.8946135831381733,0.814498933901919,0.9922077922077922,"[[44084    87]
 [    3   382]]"
DecisionTree,0.9996633450040399,0.00033665499596014,0.9804941482444733,0.9817708333333334,0.9792207792207792,"[[44164     7]
 [    8   377]]"
RandomForest,0.9997980070024239,0.00020199299757608404,0.9882044560943644,0.9973544973544973,0.9792207792207792,"[[44170     1]
 [    8   377]]"
Bagging,0.9996633450040399,0.00033665499596014,0.9802890932982917,0.9920212765957447,0.9688311688311688,"[[44168     3]
 [   12   373]]"
GradientBoosting,0.9997082323368346,0.0002917676631654547,0.9830065359477124,0.9894736842105263,0.9766233766233766,"[[44167     4]
 [    9   376]]"
KNeighbors,0.9994164646736691,0.0005835353263309094,0.9664082687338501,0.961439588688946,0.9714285714285714,"[[44156    15]
 [   11   374]]"
GaussianNB,0.9890474907980967,0.010952509201903222,0.6120826709062003,0.44100801832760594,1.0,"[[43683   488]
 [    0   385]]"
Perceptron,0.9986982673489542,0.0013017326510458749,0.9194444444444444,0.9880597014925373,0.8597402597402597,"[[44167     4]
 [   54   331]]"
AdaBoost,0.9995735703384505,0.00042642966154951073,0.9752925877763329,0.9765625,0.974025974025974,"[[44162     9]
 [   10   375]]"
LSTM,[0.9913502335548401],[0.03510897979140282],0.0,0.0,0.0,"[[44125     0]
 [  385     0]]"
