,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9999102253344107,8.977466558937069e-05,0.9473684210526315,1.0,0.9,"[[44516     0]
 [    4    36]]"
ExtraTrees,0.9999775563336026,2.244366639734267e-05,0.9873417721518988,1.0,0.975,"[[44516     0]
 [    1    39]]"
LDA,0.999214471676093,0.0007855283239069934,0.6902654867256637,0.5342465753424658,0.975,"[[44482    34]
 [    1    39]]"
QDA,0.9999551126672053,4.488733279468534e-05,0.9743589743589743,1.0,0.95,"[[44516     0]
 [    2    38]]"
DecisionTree,0.999932669000808,6.733099919202801e-05,0.9620253164556962,0.9743589743589743,0.95,"[[44515     1]
 [    2    38]]"
RandomForest,0.999932669000808,6.733099919202801e-05,0.961038961038961,1.0,0.925,"[[44516     0]
 [    3    37]]"
Bagging,0.9999551126672053,4.488733279468534e-05,0.9743589743589743,1.0,0.95,"[[44516     0]
 [    2    38]]"
GradientBoosting,0.9993042463416824,0.0006957536583176228,0.39215686274509803,0.9090909090909091,0.25,"[[44515     1]
 [   30    10]]"
KNeighbors,0.999932669000808,6.733099919202801e-05,0.9620253164556962,0.9743589743589743,0.95,"[[44515     1]
 [    2    38]]"
GaussianNB,0.9979351826914444,0.002064817308555526,0.4588235294117647,0.3,0.975,"[[44425    91]
 [    1    39]]"
Perceptron,0.9997755633360266,0.0002244366639734267,0.8863636363636364,0.8125,0.975,"[[44507     9]
 [    1    39]]"
AdaBoost,0.9999551126672053,4.488733279468534e-05,0.9743589743589743,1.0,0.95,"[[44516     0]
 [    2    38]]"
