,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9999102253344107,8.977466558937069e-05,0.0,0.0,0.0,"[[44552     0]
 [    4     0]]"
ExtraTrees,0.9999775563336026,2.244366639734267e-05,0.8571428571428571,1.0,0.75,"[[44552     0]
 [    1     3]]"
LDA,0.9916285124337911,0.008371487566208816,0.02099737532808399,0.010610079575596816,1.0,"[[44179   373]
 [    0     4]]"
QDA,0.9998877816680133,0.00011221833198671335,0.0,0.0,0.0,"[[44551     1]
 [    4     0]]"
DecisionTree,1.0,0.0,1.0,1.0,1.0,"[[44552     0]
 [    0     4]]"
RandomForest,0.9999775563336026,2.244366639734267e-05,0.8571428571428571,1.0,0.75,"[[44552     0]
 [    1     3]]"
GradientBoosting,0.9999551126672053,4.488733279468534e-05,0.8,0.6666666666666666,1.0,"[[44550     2]
 [    0     4]]"
KNeighbors,1.0,0.0,1.0,1.0,1.0,"[[44552     0]
 [    0     4]]"
GaussianNB,0.9998877816680133,0.00011221833198671335,0.5454545454545454,0.42857142857142855,0.75,"[[44548     4]
 [    1     3]]"
Perceptron,1.0,0.0,1.0,1.0,1.0,"[[44552     0]
 [    0     4]]"
AdaBoost,0.9999551126672053,4.488733279468534e-05,0.75,0.75,0.75,"[[44551     1]
 [    1     3]]"
