,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.999932669000808,6.733099919202801e-05,0.0,0.0,0.0,"[[44553     0]
 [    3     0]]"
ExtraTrees,0.999932669000808,6.733099919202801e-05,0.0,0.0,0.0,"[[44553     0]
 [    3     0]]"
LDA,0.9996409013376425,0.00035909866235748274,0.0,0.0,0.0,"[[44540    13]
 [    3     0]]"
QDA,0.9999102253344107,8.977466558937069e-05,0.0,0.0,0.0,"[[44552     1]
 [    3     0]]"
DecisionTree,0.9998653380016159,0.00013466199838405601,0.0,0.0,0.0,"[[44550     3]
 [    3     0]]"
RandomForest,0.999932669000808,6.733099919202801e-05,0.0,0.0,0.0,"[[44553     0]
 [    3     0]]"
Bagging,0.9999102253344107,8.977466558937069e-05,0.0,0.0,0.0,"[[44552     1]
 [    3     0]]"
GradientBoosting,0.9998428943352186,0.00015710566478139868,0.0,0.0,0.0,"[[44549     4]
 [    3     0]]"
KNeighbors,0.999932669000808,6.733099919202801e-05,0.0,0.0,0.0,"[[44553     0]
 [    3     0]]"
GaussianNB,0.9634168237723314,0.03658317622766855,0.003667481662591687,0.001837109614206981,1.0,"[[42923  1630]
 [    0     3]]"
Perceptron,0.999932669000808,6.733099919202801e-05,0.0,0.0,0.0,"[[44553     0]
 [    3     0]]"
AdaBoost,0.9998877816680133,0.00011221833198671335,0.0,0.0,0.0,"[[44551     2]
 [    3     0]]"
LSTM,[0.999932587146759],[0.0011900922982022166],0.0,0.0,0.0,"[[44507     0]
 [    3     0]]"
