,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9996409013376425,0.00035909866235748274,0.9148936170212766,0.86,0.9772727272727273,"[[44454    14]
 [    2    86]]"
ExtraTrees,1.0,0.0,1.0,1.0,1.0,"[[44468     0]
 [    0    88]]"
LDA,0.99535416105575,0.004645838944249933,0.4233983286908078,0.28044280442804426,0.8636363636363636,"[[44273   195]
 [   12    76]]"
QDA,0.9999775563336026,2.244366639734267e-05,0.9942857142857143,1.0,0.9886363636363636,"[[44468     0]
 [    1    87]]"
DecisionTree,0.9999775563336026,2.244366639734267e-05,0.9943502824858758,0.9887640449438202,1.0,"[[44467     1]
 [    0    88]]"
RandomForest,1.0,0.0,1.0,1.0,1.0,"[[44468     0]
 [    0    88]]"
Bagging,1.0,0.0,1.0,1.0,1.0,"[[44468     0]
 [    0    88]]"
GradientBoosting,0.9980698446898285,0.0019301553101714697,0.6532258064516129,0.50625,0.9204545454545454,"[[44389    79]
 [    7    81]]"
KNeighbors,0.9999775563336026,2.244366639734267e-05,0.9943502824858758,0.9887640449438202,1.0,"[[44467     1]
 [    0    88]]"
GaussianNB,0.9956683723853129,0.004331627614687136,0.47411444141689374,0.3118279569892473,0.9886363636363636,"[[44276   192]
 [    1    87]]"
Perceptron,0.9988329293473381,0.0011670706526618188,0.7719298245614035,0.6285714285714286,1.0,"[[44416    52]
 [    0    88]]"
AdaBoost,1.0,0.0,1.0,1.0,1.0,"[[44468     0]
 [    0    88]]"
