,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9995286830056558,0.00047131699434419606,0.9637305699481865,0.9964285714285714,0.9331103678929766,"[[44256     1]
 [   20   279]]"
ExtraTrees,0.9999102253344107,8.977466558937069e-05,0.9932659932659933,1.0,0.9866220735785953,"[[44257     0]
 [    4   295]]"
LDA,0.9968129993715773,0.003187000628422659,0.7959770114942529,0.6977329974811083,0.9264214046822743,"[[44137   120]
 [   22   277]]"
QDA,0.9891148217972888,0.010885178202711196,0.5521698984302862,0.38137755102040816,1.0,"[[43772   485]
 [    0   299]]"
DecisionTree,0.9997980070024239,0.00020199299757608404,0.984873949579832,0.9898648648648649,0.979933110367893,"[[44254     3]
 [    6   293]]"
RandomForest,0.9998653380016159,0.00013466199838405601,0.9898648648648649,1.0,0.979933110367893,"[[44257     0]
 [    6   293]]"
Bagging,0.9997980070024239,0.00020199299757608404,0.984822934232715,0.9931972789115646,0.9765886287625418,"[[44255     2]
 [    7   292]]"
GradientBoosting,0.9998204506688213,0.00017954933117874137,0.9865319865319865,0.9932203389830508,0.979933110367893,"[[44255     2]
 [    6   293]]"
KNeighbors,0.9998428943352186,0.00015710566478139868,0.9881956155143339,0.9965986394557823,0.979933110367893,"[[44256     1]
 [    6   293]]"
GaussianNB,0.9859502648352635,0.014049735164736512,0.48856209150326796,0.3232432432432432,1.0,"[[43631   626]
 [    0   299]]"
Perceptron,0.9994837956728612,0.0005162043271388814,0.9609507640067911,0.9758620689655172,0.9464882943143813,"[[44250     7]
 [   16   283]]"
AdaBoost,0.9998204506688213,0.00017954933117874137,0.9864864864864865,0.9965870307167235,0.9765886287625418,"[[44256     1]
 [    7   292]]"
LSTM,[0.9932824373245239],[0.04305040091276169],0.0,0.0,0.0,"[[44211     0]
 [  299     0]]"
