,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9998428943352186,0.00015710566478139868,0.0,0.0,0.0,"[[44549     0]
 [    7     0]]"
ExtraTrees,0.9998428943352186,0.00015710566478139868,0.2222222222222222,0.5,0.14285714285714285,"[[44548     1]
 [    6     1]]"
LDA,0.9981820630218152,0.0018179369781847563,0.047058823529411764,0.02564102564102564,0.2857142857142857,"[[44473    76]
 [    5     2]]"
QDA,0.9998204506688213,0.00017954933117874137,0.0,0.0,0.0,"[[44548     1]
 [    7     0]]"
DecisionTree,0.9998204506688213,0.00017954933117874137,0.3333333333333333,0.4,0.2857142857142857,"[[44546     3]
 [    5     2]]"
RandomForest,0.9998204506688213,0.00017954933117874137,0.0,0.0,0.0,"[[44548     1]
 [    7     0]]"
Bagging,0.9998204506688213,0.00017954933117874137,0.2,0.3333333333333333,0.14285714285714285,"[[44547     2]
 [    6     1]]"
GradientBoosting,0.9997755633360266,0.0002244366639734267,0.0,0.0,0.0,"[[44546     3]
 [    7     0]]"
KNeighbors,0.9998204506688213,0.00017954933117874137,0.0,0.0,0.0,"[[44548     1]
 [    7     0]]"
GaussianNB,0.935878445102792,0.06412155489720801,0.004876349703935911,0.0024441340782122905,1.0,"[[41692  2857]
 [    0     7]]"
Perceptron,0.9998428943352186,0.00015710566478139868,0.0,0.0,0.0,"[[44549     0]
 [    7     0]]"
AdaBoost,0.9998428943352186,0.00015710566478139868,0.0,0.0,0.0,"[[44549     0]
 [    7     0]]"
LSTM,[0.9998427033424377],[0.0021319566294550896],0.0,0.0,0.0,"[[44503     0]
 [    7     0]]"
