,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9998877816680133,0.00011221833198671335,0.0,0.0,0.0,"[[44551     0]
 [    5     0]]"
ExtraTrees,0.9999102253344107,8.977466558937069e-05,0.3333333333333333,1.0,0.2,"[[44551     0]
 [    4     1]]"
LDA,0.9998204506688213,0.00017954933117874137,0.0,0.0,0.0,"[[44548     3]
 [    5     0]]"
QDA,0.9998653380016159,0.00013466199838405601,0.0,0.0,0.0,"[[44550     1]
 [    5     0]]"
DecisionTree,0.999932669000808,6.733099919202801e-05,0.5714285714285714,1.0,0.4,"[[44551     0]
 [    3     2]]"
RandomForest,0.9998877816680133,0.00011221833198671335,0.0,0.0,0.0,"[[44551     0]
 [    5     0]]"
GradientBoosting,0.9996184576712451,0.0003815423287548254,0.19047619047619047,0.125,0.4,"[[44537    14]
 [    3     2]]"
KNeighbors,0.9998877816680133,0.00011221833198671335,0.0,0.0,0.0,"[[44551     0]
 [    5     0]]"
GaussianNB,0.9770401292755184,0.02295987072448155,0.0038948393378773127,0.0019569471624266144,0.4,"[[43531  1020]
 [    3     2]]"
Perceptron,0.999932669000808,6.733099919202801e-05,0.5714285714285714,1.0,0.4,"[[44551     0]
 [    3     2]]"
AdaBoost,0.9999551126672053,4.488733279468534e-05,0.75,1.0,0.6,"[[44551     0]
 [    2     3]]"
