,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9980025136906365,0.0019974863093634976,0.9039913700107874,0.9168490153172867,0.8914893617021277,"[[44048    38]
 [   51   419]]"
ExtraTrees,0.9993715773408745,0.0006284226591255947,0.970276008492569,0.9682203389830508,0.9723404255319149,"[[44071    15]
 [   13   457]]"
LDA,0.9940973157374989,0.0059026842625011225,0.7468719923002888,0.6818980667838312,0.825531914893617,"[[43905   181]
 [   82   388]]"
QDA,0.9697683813627794,0.030231618637220577,0.4037184594953519,0.2548910005589715,0.9702127659574468,"[[42753  1333]
 [   14   456]]"
DecisionTree,0.9992369153424904,0.0007630846575096508,0.9637526652452025,0.9658119658119658,0.9617021276595744,"[[44070    16]
 [   18   452]]"
RandomForest,0.9994164646736691,0.0005835353263309094,0.9722222222222222,0.9763948497854077,0.9680851063829787,"[[44075    11]
 [   15   455]]"
Bagging,0.9993042463416824,0.0006957536583176228,0.9667738478027867,0.9740820734341252,0.9595744680851064,"[[44074    12]
 [   19   451]]"
GradientBoosting,0.9992593590088877,0.0007406409911123081,0.9642470205850487,0.9823399558498896,0.9468085106382979,"[[44078     8]
 [   25   445]]"
KNeighbors,0.999147140676901,0.0008528593230990215,0.9600840336134454,0.9481327800829875,0.9723404255319149,"[[44061    25]
 [   13   457]]"
GaussianNB,0.9437786156746566,0.05622138432534339,0.266900790166813,0.15473362741771293,0.9702127659574468,"[[41595  2491]
 [   14   456]]"
Perceptron,0.9971496543675374,0.002850345632462519,0.8531791907514451,0.9341772151898734,0.7851063829787234,"[[44060    26]
 [  101   369]]"
AdaBoost,0.9994389083400664,0.0005610916599335668,0.9733759318423855,0.9744136460554371,0.9723404255319149,"[[44074    12]
 [   13   457]]"
