,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9999551126672053,4.488733279468534e-05,0.0,0.0,0.0,"[[44554     0]
 [    2     0]]"
ExtraTrees,0.9999775563336026,2.244366639734267e-05,0.6666666666666666,1.0,0.5,"[[44554     0]
 [    1     1]]"
LDA,0.9990349223449143,0.0009650776550857348,0.044444444444444446,0.023255813953488372,0.5,"[[44512    42]
 [    1     1]]"
QDA,0.9999551126672053,4.488733279468534e-05,0.0,0.0,0.0,"[[44554     0]
 [    2     0]]"
DecisionTree,0.9999775563336026,2.244366639734267e-05,0.6666666666666666,1.0,0.5,"[[44554     0]
 [    1     1]]"
RandomForest,0.9999775563336026,2.244366639734267e-05,0.6666666666666666,1.0,0.5,"[[44554     0]
 [    1     1]]"
Bagging,0.9999551126672053,4.488733279468534e-05,0.0,0.0,0.0,"[[44554     0]
 [    2     0]]"
GradientBoosting,0.9995735703384505,0.00042642966154951073,0.09523809523809523,0.05263157894736842,0.5,"[[44536    18]
 [    1     1]]"
KNeighbors,0.9999551126672053,4.488733279468534e-05,0.0,0.0,0.0,"[[44554     0]
 [    2     0]]"
GaussianNB,0.9999775563336026,2.244366639734267e-05,0.6666666666666666,1.0,0.5,"[[44554     0]
 [    1     1]]"
Perceptron,0.9999551126672053,4.488733279468534e-05,0.0,0.0,0.0,"[[44554     0]
 [    2     0]]"
AdaBoost,0.9999775563336026,2.244366639734267e-05,0.6666666666666666,1.0,0.5,"[[44554     0]
 [    1     1]]"
LSTM,[0.9999550580978394],[0.0008387212292291224],0.0,0.0,0.0,"[[44508     0]
 [    2     0]]"
