,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9995735703384505,0.00042642966154951073,0.8707482993197279,0.8648648648648649,0.8767123287671232,"[[44473    10]
 [    9    64]]"
ExtraTrees,0.9997755633360266,0.0002244366639734267,0.9305555555555556,0.9436619718309859,0.9178082191780822,"[[44479     4]
 [    6    67]]"
LDA,0.9957805907172996,0.004219409282700422,0.437125748502994,0.2796934865900383,1.0,"[[44295   188]
 [    0    73]]"
QDA,0.9998877816680133,0.00011221833198671335,0.9664429530201343,0.9473684210526315,0.9863013698630136,"[[44479     4]
 [    1    72]]"
DecisionTree,0.9997980070024239,0.00020199299757608404,0.9379310344827586,0.9444444444444444,0.9315068493150684,"[[44479     4]
 [    5    68]]"
RandomForest,0.9998428943352186,0.00015710566478139868,0.9523809523809523,0.9459459459459459,0.958904109589041,"[[44479     4]
 [    3    70]]"
Bagging,0.9998204506688213,0.00017954933117874137,0.9452054794520548,0.9452054794520548,0.9452054794520548,"[[44479     4]
 [    4    69]]"
GradientBoosting,0.9998653380016159,0.00013466199838405601,0.9605263157894737,0.9240506329113924,1.0,"[[44477     6]
 [    0    73]]"
KNeighbors,0.9997755633360266,0.0002244366639734267,0.9342105263157895,0.8987341772151899,0.9726027397260274,"[[44475     8]
 [    2    71]]"
GaussianNB,0.9936259987431547,0.006374001256845318,0.3395348837209302,0.20448179271708683,1.0,"[[44199   284]
 [    0    73]]"
Perceptron,0.9998428943352186,0.00015710566478139868,0.9536423841059603,0.9230769230769231,0.9863013698630136,"[[44477     6]
 [    1    72]]"
AdaBoost,0.9997755633360266,0.0002244366639734267,0.935064935064935,0.8888888888888888,0.9863013698630136,"[[44474     9]
 [    1    72]]"
