,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9987880420145435,0.0012119579854565042,0.9704595185995624,0.983370288248337,0.9578833693304536,"[[43615    15]
 [   39   887]]"
ExtraTrees,0.9998428943352186,0.00015710566478139868,0.9962100703844071,0.998914223669924,0.9935205183585313,"[[43629     1]
 [    6   920]]"
LDA,0.9926160337552743,0.007383966244725738,0.8154795288839035,0.8483080513418904,0.785097192224622,"[[43500   130]
 [  199   727]]"
QDA,0.8766944968129994,0.12330550318700063,0.2519063180827887,0.14412589591773137,0.9989200863930886,"[[38137  5493]
 [    1   925]]"
DecisionTree,0.999281802675285,0.0007181973247149655,0.9827027027027027,0.9837662337662337,0.9816414686825053,"[[43615    15]
 [   17   909]]"
RandomForest,0.9996409013376425,0.00035909866235748274,0.991313789359392,0.9967248908296943,0.9859611231101512,"[[43627     3]
 [   13   913]]"
GradientBoosting,0.9993491336744771,0.0006508663255229374,0.9842988630211154,0.9869706840390879,0.9816414686825053,"[[43618    12]
 [   17   909]]"
KNeighbors,0.9991920280096956,0.0008079719903043361,0.9802847754654983,0.9944444444444445,0.9665226781857451,"[[43625     5]
 [   31   895]]"
GaussianNB,0.8846395547176586,0.11536044528234132,0.26234213547646384,0.15127441244620987,0.9870410367170627,"[[38502  5128]
 [   12   914]]"
Perceptron,0.9989900350121196,0.0010099649878804202,0.9757412398921833,0.9741657696447793,0.9773218142548596,"[[43606    24]
 [   21   905]]"
AdaBoost,0.999281802675285,0.0007181973247149655,0.982740021574973,0.9816810344827587,0.9838012958963283,"[[43613    17]
 [   15   911]]"
