,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9996184576712451,0.0003815423287548254,0.9578163771712159,0.9796954314720813,0.9368932038834952,"[[44346     4]
 [   13   193]]"
ExtraTrees,0.9999775563336026,2.244366639734267e-05,0.9975669099756691,1.0,0.9951456310679612,"[[44350     0]
 [    1   205]]"
LDA,0.9986982673489542,0.0013017326510458749,0.8644859813084113,0.8333333333333334,0.8980582524271845,"[[44313    37]
 [   21   185]]"
QDA,0.9999775563336026,2.244366639734267e-05,0.9975669099756691,1.0,0.9951456310679612,"[[44350     0]
 [    1   205]]"
DecisionTree,0.9998877816680133,0.00011221833198671335,0.9878345498783455,0.9902439024390244,0.9854368932038835,"[[44348     2]
 [    3   203]]"
RandomForest,1.0,0.0,1.0,1.0,1.0,"[[44350     0]
 [    0   206]]"
GradientBoosting,0.9998653380016159,0.00013466199838405601,0.9852941176470589,0.995049504950495,0.9757281553398058,"[[44349     1]
 [    5   201]]"
KNeighbors,0.9998428943352186,0.00015710566478139868,0.9832935560859188,0.9671361502347418,1.0,"[[44343     7]
 [    0   206]]"
GaussianNB,0.9996409013376425,0.00035909866235748274,0.9624413145539906,0.9318181818181818,0.9951456310679612,"[[44335    15]
 [    1   205]]"
Perceptron,0.9996633450040399,0.00033665499596014,0.9625935162094763,0.9897435897435898,0.9368932038834952,"[[44348     2]
 [   13   193]]"
AdaBoost,0.9999551126672053,4.488733279468534e-05,0.9951219512195122,1.0,0.9902912621359223,"[[44350     0]
 [    2   204]]"
