,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9897656881228117,0.010234311877188257,0.8183266932270916,0.8558333333333333,0.783969465648855,"[[43073   173]
 [  283  1027]]"
ExtraTrees,0.9982718376874046,0.0017281623125953857,0.970688998858013,0.9681093394077449,0.9732824427480916,"[[43204    42]
 [   35  1275]]"
LDA,0.9803169045695305,0.019683095430469522,0.6928196147110333,0.6401294498381876,0.7549618320610687,"[[42690   556]
 [  321   989]]"
QDA,0.8220217254690726,0.17797827453092738,0.23852506241597848,0.13642355008787346,0.9480916030534351,"[[35384  7862]
 [   68  1242]]"
DecisionTree,0.9976883023610738,0.002311697638926295,0.9608216051730696,0.9575435936315391,0.9641221374045802,"[[43190    56]
 [   47  1263]]"
RandomForest,0.9979576263578418,0.002042373642158183,0.9651207359141434,0.9692070823710547,0.9610687022900763,"[[43206    40]
 [   51  1259]]"
GradientBoosting,0.9970149923691535,0.002985007630846575,0.9496402877697842,0.9421487603305785,0.9572519083969465,"[[43169    77]
 [   56  1254]]"
KNeighbors,0.99679055570518,0.003209444294820002,0.9453154875717017,0.9471264367816092,0.9435114503816794,"[[43177    69]
 [   74  1236]]"
GaussianNB,0.9024598258371488,0.09754017416285124,0.3672102504368084,0.22688017272400143,0.9625954198473282,"[[38949  4297]
 [   49  1261]]"
Perceptron,0.9879253074782296,0.012074692521770356,0.8068916008614501,0.7615176151761518,0.8580152671755725,"[[42894   352]
 [  186  1124]]"
AdaBoost,0.9948379567286112,0.005162043271388814,0.9130105900151286,0.9047976011994003,0.9213740458015267,"[[43119   127]
 [  103  1207]]"
