,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9999102253344107,8.977466558937069e-05,0.0,0.0,0.0,"[[44552     0]
 [    4     0]]"
ExtraTrees,0.999932669000808,6.733099919202801e-05,0.4,1.0,0.25,"[[44552     0]
 [    3     1]]"
LDA,0.998496274351378,0.001503725648621959,0.028985507246376812,0.015384615384615385,0.25,"[[44488    64]
 [    3     1]]"
QDA,0.9998877816680133,0.00011221833198671335,0.0,0.0,0.0,"[[44551     1]
 [    4     0]]"
DecisionTree,0.9999102253344107,8.977466558937069e-05,0.5,0.5,0.5,"[[44550     2]
 [    2     2]]"
RandomForest,0.999932669000808,6.733099919202801e-05,0.4,1.0,0.25,"[[44552     0]
 [    3     1]]"
Bagging,0.9999102253344107,8.977466558937069e-05,0.5,0.5,0.5,"[[44550     2]
 [    2     2]]"
GradientBoosting,0.9998428943352186,0.00015710566478139868,0.36363636363636365,0.2857142857142857,0.5,"[[44547     5]
 [    2     2]]"
KNeighbors,0.999932669000808,6.733099919202801e-05,0.4,1.0,0.25,"[[44552     0]
 [    3     1]]"
GaussianNB,0.9788805099201006,0.021119490079899453,0.004232804232804233,0.0021253985122210413,0.5,"[[43613   939]
 [    2     2]]"
Perceptron,0.9999102253344107,8.977466558937069e-05,0.0,0.0,0.0,"[[44552     0]
 [    4     0]]"
AdaBoost,0.9999102253344107,8.977466558937069e-05,0.3333333333333333,0.5,0.25,"[[44551     1]
 [    3     1]]"
