,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9994837956728612,0.0005162043271388814,0.9884711779448622,0.9840319361277445,0.9929506545820745,"[[43547    16]
 [    7   986]]"
ExtraTrees,0.9999551126672053,4.488733279468534e-05,0.998991935483871,1.0,0.9979859013091642,"[[43563     0]
 [    2   991]]"
LDA,0.9964539007092199,0.0035460992907801418,0.9263059701492538,0.8627280625543006,1.0,"[[43405   158]
 [    0   993]]"
QDA,0.9983840560193913,0.0016159439806086723,0.9650145772594753,0.9323943661971831,1.0,"[[43491    72]
 [    0   993]]"
DecisionTree,0.999932669000808,6.733099919202801e-05,0.9984871406959153,1.0,0.9969788519637462,"[[43563     0]
 [    3   990]]"
RandomForest,0.9999775563336026,2.244366639734267e-05,0.9994962216624685,1.0,0.998992950654582,"[[43563     0]
 [    1   992]]"
Bagging,0.999932669000808,6.733099919202801e-05,0.9984871406959153,1.0,0.9969788519637462,"[[43563     0]
 [    3   990]]"
GradientBoosting,1.0,0.0,1.0,1.0,1.0,"[[43563     0]
 [    0   993]]"
KNeighbors,0.9998204506688213,0.00017954933117874137,0.9959677419354839,0.9969727547931383,0.9949647532729103,"[[43560     3]
 [    5   988]]"
GaussianNB,0.9981820630218152,0.0018179369781847563,0.960774818401937,0.9253731343283582,0.998992950654582,"[[43483    80]
 [    1   992]]"
Perceptron,0.9977780770266631,0.0022219229733369244,0.9475913181577554,0.9988839285714286,0.9013091641490433,"[[43562     1]
 [   98   895]]"
AdaBoost,0.9998204506688213,0.00017954933117874137,0.9959636730575177,0.9979777553083923,0.9939577039274925,"[[43561     2]
 [    6   987]]"
