,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9999775563336026,2.244366639734267e-05,0.0,0.0,0.0,"[[44555     0]
 [    1     0]]"
ExtraTrees,0.9999775563336026,2.244366639734267e-05,0.0,0.0,0.0,"[[44555     0]
 [    1     0]]"
LDA,0.9998204506688213,0.00017954933117874137,0.2,0.1111111111111111,1.0,"[[44547     8]
 [    0     1]]"
DecisionTree,0.999932669000808,6.733099919202801e-05,0.4,0.25,1.0,"[[44552     3]
 [    0     1]]"
RandomForest,0.9999775563336026,2.244366639734267e-05,0.0,0.0,0.0,"[[44555     0]
 [    1     0]]"
Bagging,0.9999775563336026,2.244366639734267e-05,0.0,0.0,0.0,"[[44555     0]
 [    1     0]]"
GradientBoosting,0.9999551126672053,4.488733279468534e-05,0.5,0.3333333333333333,1.0,"[[44553     2]
 [    0     1]]"
KNeighbors,0.9999775563336026,2.244366639734267e-05,0.0,0.0,0.0,"[[44555     0]
 [    1     0]]"
GaussianNB,0.9999775563336026,2.244366639734267e-05,0.0,0.0,0.0,"[[44555     0]
 [    1     0]]"
Perceptron,0.9999775563336026,2.244366639734267e-05,0.0,0.0,0.0,"[[44555     0]
 [    1     0]]"
AdaBoost,1.0,0.0,1.0,1.0,1.0,"[[44555     0]
 [    0     1]]"
