,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9996184576712451,0.0003815423287548254,0.9690346083788707,0.9568345323741008,0.981549815498155,"[[44273    12]
 [    5   266]]"
ExtraTrees,0.9997980070024239,0.00020199299757608404,0.9834862385321101,0.9781021897810219,0.988929889298893,"[[44279     6]
 [    3   268]]"
LDA,0.9996184576712451,0.0003815423287548254,0.9690346083788707,0.9568345323741008,0.981549815498155,"[[44273    12]
 [    5   266]]"
QDA,0.9997306760032318,0.00026932399676811203,0.9783393501805054,0.9575971731448764,1.0,"[[44273    12]
 [    0   271]]"
DecisionTree,0.9997531196696292,0.00024688033037076936,0.9797421731123389,0.9779411764705882,0.981549815498155,"[[44279     6]
 [    5   266]]"
RandomForest,0.9997306760032318,0.00026932399676811203,0.978021978021978,0.9709090909090909,0.985239852398524,"[[44277     8]
 [    4   267]]"
Bagging,0.9998204506688213,0.00017954933117874137,0.9852941176470589,0.9816849816849816,0.988929889298893,"[[44280     5]
 [    3   268]]"
GradientBoosting,0.9998877816680133,0.00011221833198671335,0.990791896869245,0.9889705882352942,0.992619926199262,"[[44282     3]
 [    2   269]]"
KNeighbors,0.9997531196696292,0.00024688033037076936,0.9796672828096118,0.9814814814814815,0.977859778597786,"[[44280     5]
 [    6   265]]"
GaussianNB,0.9740775653110693,0.025922434688930785,0.319387153800825,0.1900420757363254,1.0,"[[43130  1155]
 [    0   271]]"
Perceptron,0.9997082323368346,0.0002917676631654547,0.976491862567812,0.9574468085106383,0.996309963099631,"[[44273    12]
 [    1   270]]"
AdaBoost,0.9997980070024239,0.00020199299757608404,0.9836065573770492,0.9712230215827338,0.996309963099631,"[[44277     8]
 [    1   270]]"
