,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9960050273812731,0.003994972618726995,0.6079295154185022,0.7379679144385026,0.5168539325842697,"[[44240    49]
 [  129   138]]"
ExtraTrees,0.9995960140048479,0.00040398599515216807,0.9655172413793104,0.9882352941176471,0.9438202247191011,"[[44286     3]
 [   15   252]]"
LDA,0.9929078014184397,0.0070921985815602835,0.6030150753768844,0.45368620037807184,0.898876404494382,"[[44000   289]
 [   27   240]]"
QDA,0.9732695933207649,0.02673040667923512,0.3087637840975044,0.18269230769230768,0.9962546816479401,"[[43099  1190]
 [    1   266]]"
DecisionTree,0.9994837956728612,0.0005162043271388814,0.9566854990583804,0.9621212121212122,0.951310861423221,"[[44279    10]
 [   13   254]]"
RandomForest,0.9995062393392584,0.0004937606607415387,0.9576923076923077,0.9841897233201581,0.9325842696629213,"[[44285     4]
 [   18   249]]"
Bagging,0.9995960140048479,0.00040398599515216807,0.9659090909090909,0.9770114942528736,0.9550561797752809,"[[44283     6]
 [   12   255]]"
GradientBoosting,0.9993042463416824,0.0006957536583176228,0.9400386847195358,0.972,0.9101123595505618,"[[44282     7]
 [   24   243]]"
KNeighbors,0.9989675913457222,0.001032408654277763,0.9135338345864662,0.9169811320754717,0.9101123595505618,"[[44267    22]
 [   24   243]]"
GaussianNB,0.9719903043361163,0.02800969566388365,0.298876404494382,0.17580964970257765,0.9962546816479401,"[[43042  1247]
 [    1   266]]"
Perceptron,0.9973067600323189,0.00269323996768112,0.781021897810219,0.7615658362989324,0.8014981273408239,"[[44222    67]
 [   53   214]]"
AdaBoost,0.9994164646736691,0.0005835353263309094,0.9505703422053232,0.9652509652509652,0.9363295880149812,"[[44280     9]
 [   17   250]]"
