,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9999775563336026,2.244366639734267e-05,0.0,0.0,0.0,"[[44555     0]
 [    1     0]]"
ExtraTrees,0.9999775563336026,2.244366639734267e-05,0.0,0.0,0.0,"[[44555     0]
 [    1     0]]"
LDA,0.9953766047221474,0.00462339527785259,0.009615384615384616,0.004830917874396135,1.0,"[[44349   206]
 [    0     1]]"
DecisionTree,0.9999775563336026,2.244366639734267e-05,0.0,0.0,0.0,"[[44555     0]
 [    1     0]]"
RandomForest,0.9999775563336026,2.244366639734267e-05,0.0,0.0,0.0,"[[44555     0]
 [    1     0]]"
Bagging,1.0,0.0,1.0,1.0,1.0,"[[44555     0]
 [    0     1]]"
GradientBoosting,1.0,0.0,1.0,1.0,1.0,"[[44555     0]
 [    0     1]]"
KNeighbors,0.9999775563336026,2.244366639734267e-05,0.0,0.0,0.0,"[[44555     0]
 [    1     0]]"
GaussianNB,0.9999775563336026,2.244366639734267e-05,0.0,0.0,0.0,"[[44555     0]
 [    1     0]]"
Perceptron,0.9999775563336026,2.244366639734267e-05,0.0,0.0,0.0,"[[44555     0]
 [    1     0]]"
AdaBoost,0.9999775563336026,2.244366639734267e-05,0.0,0.0,0.0,"[[44555     0]
 [    1     0]]"
LSTM,[0.9999775290489197],[0.0004262033326085657],0.0,0.0,0.0,"[[44509     0]
 [    1     0]]"
