,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.999932669000808,6.733099919202801e-05,0.0,0.0,0.0,"[[44553     0]
 [    3     0]]"
ExtraTrees,0.999932669000808,6.733099919202801e-05,0.0,0.0,0.0,"[[44553     0]
 [    3     0]]"
LDA,0.9992369153424904,0.0007630846575096508,0.15,0.08108108108108109,1.0,"[[44519    34]
 [    0     3]]"
QDA,0.9999102253344107,8.977466558937069e-05,0.0,0.0,0.0,"[[44552     1]
 [    3     0]]"
DecisionTree,0.9998877816680133,0.00011221833198671335,0.0,0.0,0.0,"[[44551     2]
 [    3     0]]"
RandomForest,0.999932669000808,6.733099919202801e-05,0.0,0.0,0.0,"[[44553     0]
 [    3     0]]"
Bagging,0.9999102253344107,8.977466558937069e-05,0.0,0.0,0.0,"[[44552     1]
 [    3     0]]"
GradientBoosting,0.997508753029895,0.002491246970105036,0.0,0.0,0.0,"[[44445   108]
 [    3     0]]"
KNeighbors,0.999932669000808,6.733099919202801e-05,0.0,0.0,0.0,"[[44553     0]
 [    3     0]]"
GaussianNB,0.9958479217164916,0.004152078283508394,0.031413612565445025,0.015957446808510637,1.0,"[[44368   185]
 [    0     3]]"
Perceptron,0.999932669000808,6.733099919202801e-05,0.0,0.0,0.0,"[[44553     0]
 [    3     0]]"
AdaBoost,0.9999102253344107,8.977466558937069e-05,0.0,0.0,0.0,"[[44552     1]
 [    3     0]]"
