,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9999775563336026,2.244366639734267e-05,0.0,0.0,0.0,"[[44555     0]
 [    1     0]]"
ExtraTrees,0.9999775563336026,2.244366639734267e-05,0.6666666666666666,0.5,1.0,"[[44554     1]
 [    0     1]]"
LDA,0.9993042463416824,0.0006957536583176228,0.06060606060606061,0.03125,1.0,"[[44524    31]
 [    0     1]]"
QDA,0.9999551126672053,4.488733279468534e-05,0.0,0.0,0.0,"[[44554     1]
 [    1     0]]"
DecisionTree,1.0,0.0,1.0,1.0,1.0,"[[44555     0]
 [    0     1]]"
RandomForest,0.9999775563336026,2.244366639734267e-05,0.0,0.0,0.0,"[[44555     0]
 [    1     0]]"
Bagging,0.9999775563336026,2.244366639734267e-05,0.0,0.0,0.0,"[[44555     0]
 [    1     0]]"
GradientBoosting,0.999932669000808,6.733099919202801e-05,0.0,0.0,0.0,"[[44553     2]
 [    1     0]]"
KNeighbors,0.9999775563336026,2.244366639734267e-05,0.0,0.0,0.0,"[[44555     0]
 [    1     0]]"
GaussianNB,0.9997755633360266,0.0002244366639734267,0.0,0.0,0.0,"[[44546     9]
 [    1     0]]"
Perceptron,0.9999775563336026,2.244366639734267e-05,0.6666666666666666,0.5,1.0,"[[44554     1]
 [    0     1]]"
AdaBoost,0.9999775563336026,2.244366639734267e-05,0.6666666666666666,0.5,1.0,"[[44554     1]
 [    0     1]]"
