attack,model,accuracy,f1,precision,recall
apache2,ExtraTrees,0.999,0.997,1.0,0.995475113122172
back,AdaBoost,1.0,1.0,1.0,1.0
overflow,Bagging,0.999,0.72,0.9,0.6
write,ExtraTrees,0.999,0.8,1.0,0.6666666666666666
passwd,ExtraTrees,0.999,0.993,0.9973821989528796,0.9896103896103896
httptunnel,ExtraTrees,0.999,0.987,1.0,0.975
imap,KNeighbors,1.0,1.0,1.0,1.0
ipsweep,RandomForest,0.999,0.985,0.984,0.9866310160427808
land,LDA,0.999,0.823,0.7,1.0
loadmodule,GaussianNB,0.963,0.003,0.0018371096142069,1.0
mailbomb,ExtraTrees,1.0,1.0,1.0,1.0
mscan,ExtraTrees,0.999,0.993,1.0,0.9866220735785952
multihop,DecisionTree,0.999,0.333,0.4,0.2857142857142857
named,AdaBoost,0.999,0.75,1.0,0.6
neptune,ExtraTrees,0.999,0.999,1.0,0.9999273361430024
nmap,AdaBoost,0.999,0.973,0.9744136460554372,0.9723404255319148
perl,AdaBoost,0.999,0.666,0.5,1.0
phf,ExtraTrees,0.999,0.666,1.0,0.5
pod,QDA,0.999,0.966,0.9473684210526316,0.9863013698630136
portsweep,ExtraTrees,0.999,0.997,0.9989165763813652,0.9956803455723542
processtable,ExtraTrees,1.0,1.0,1.0,1.0
ps,DecisionTree,0.999,0.571,0.6666666666666666,0.5
rootkit,ExtraTrees,0.999,0.222,0.5,0.1428571428571428
saint,Bagging,0.998,0.719,0.8676470588235294,0.6145833333333334
satan,ExtraTrees,0.998,0.969,0.9666413949962092,0.9732824427480916
sendmail,DecisionTree,0.999,0.5,0.5,0.5
smurf,GradientBoosting,1.0,1.0,1.0,1.0
snmpgetattack,ExtraTrees,0.998,0.33,0.34,0.320754716981132
snmpguess,ExtraTrees,0.999,0.941,0.9142857142857144,0.9696969696969696
spy,LogisticRegression,0.999,0.0,0.0,0.0
sqlattack,DecisionTree,1.0,1.0,1.0,1.0
teardrop,GradientBoosting,0.999,0.99,0.9889705882352942,0.992619926199262
udpstorm,LDA,0.997,0.015,0.008,1.0
warezclient,ExtraTrees,0.999,0.965,0.9882352941176472,0.9438202247191012
warezmaster,Bagging,0.999,0.953,0.9816849816849816,0.9273356401384084
worm,Bagging,1.0,1.0,1.0,1.0
xlock,LDA,0.999,0.15,0.081081081081081,1.0
xsnoop,ExtraTrees,0.999,0.666,0.5,1.0
xterm,Perceptron,0.999,0.545,0.4285714285714285,0.75
