,attack,model,accuracy,f1,precision,recall
0,Bot,DecisionTree,0.9999658165195796,0.9754860524091292,0.9681208053691276,0.9829642248722316
1,DDoS,ExtraTrees,0.9999681740009878,0.9996484786939028,0.9997395901148408,0.9995573838783588
2,DoS GoldenEye,RandomForest,0.9999752464452129,0.9965925685542754,0.99869918699187,0.9944948186528496
3,DoS Hulk,DecisionTree,0.9997147447495942,0.9982473420435124,0.9982328828633092,0.9982618016425976
4,DoS Slowhttptest,DecisionTree,0.999946956668313,0.9863760217983653,0.985480943738657,0.9872727272727272
5,DoS slowloris,ExtraTrees,0.9999870338522544,0.996832709473078,0.9982698961937716,0.9953996549741232
6,FTP-Patator,ExtraTrees,0.9999988212592958,0.9997898718218112,1.0,0.9995798319327732
7,Heartbleed,ExtraTrees,1.0,1.0,1.0,1.0
8,Infiltration,AdaBoost,0.9999952850371834,0.7999999999999999,0.8888888888888888,0.7272727272727273
9,PortScan,DecisionTree,0.9999587440753546,0.9996326963238148,0.9995592679650772,0.9997061354715476
10,SSH-Patator,RandomForest,0.9999905700743668,0.9977337110481588,1.0,0.9954776710005652
11,Web Attack-Brute Force,RandomForest,0.999864444819022,0.8720800889877643,0.8769574944071589,0.8672566371681416
12,Web Attack-Sql Injection,AdaBoost,0.9999988212592958,0.9090909090909092,1.0,0.8333333333333334
13,Web Attack-XSS,DecisionTree,0.9998620873376136,0.7167070217917676,0.6820276497695853,0.7551020408163265
