,attack,model,accuracy,f1,precision,recall
0,apache2,ExtraTrees,0.9999775563336026,0.9977324263038548,1.0,0.995475113122172
1,back,RandomForest,1.0,1.0,1.0,1.0
2,overflow,ExtraTrees,0.9998428943352186,0.7200000000000001,0.9,0.6
3,write,AdaBoost,0.9999102253344108,1.0,0.0,0.0
4,passwd,ExtraTrees,0.999932669000808,0.9961089494163424,0.9948186528497408,0.9974025974025974
5,httptunnel,ExtraTrees,0.9999775563336026,0.9873417721518988,1.0,0.975
6,imap,Bagging,1.0,1.0,1.0,1.0
7,ipsweep,GradientBoosting,0.9991920280096956,0.9840566873339238,0.9779929577464788,0.9901960784313726
8,land,Bagging,0.999932669000808,0.8235294117647058,0.7,1.0
9,loadmodule,Bagging,0.9998877816680132,1.0,0.0,0.0
10,mailbomb,ExtraTrees,1.0,1.0,1.0,1.0
11,mscan,ExtraTrees,0.9999102253344108,0.9932659932659932,1.0,0.9866220735785952
12,multihop,RandomForest,0.9998204506688212,1.0,0.0,0.0
13,named,LDA,0.9998204506688212,1.0,0.0,0.0
14,neptune,ExtraTrees,0.9999775563336026,0.9999636693914622,0.9999273414226548,1.0
15,nmap,AdaBoost,0.9995062393392584,0.976545842217484,0.9786324786324786,0.9744680851063828
16,normal,ExtraTrees,1.0,1.0,1.0,1.0
17,perl,Bagging,0.999932669000808,1.0,0.0,0.0
18,phf,ExtraTrees,0.9999775563336026,0.6666666666666666,1.0,0.5
19,pod,Bagging,0.9999775563336026,0.9931972789115648,0.9864864864864864,1.0
20,portsweep,ExtraTrees,0.9998204506688212,0.9956709956709956,0.9978308026030368,0.9935205183585312
21,processtable,ExtraTrees,1.0,1.0,1.0,1.0
22,ps,GradientBoosting,0.9998204506688212,1.0,0.0,0.0
23,rootkit,GradientBoosting,0.9998204506688212,1.0,0.0,0.0
24,saint,DecisionTree,0.9992593590088876,0.8253968253968254,0.8387096774193549,0.8125
25,satan,ExtraTrees,0.9989002603465302,0.9811610918877356,0.9883810999225406,0.9740458015267176
26,sendmail,AdaBoost,0.9999551126672052,0.6666666666666666,1.0,0.5
27,smurf,GradientBoosting,1.0,1.0,1.0,1.0
28,snmpgetattack,QDA,0.9986084926833648,0.6309523809523809,0.4608695652173913,1.0
29,snmpguess,ExtraTrees,0.9997306760032318,0.9411764705882354,0.9142857142857144,0.9696969696969696
30,spy,LDA,0.999865338001616,1.0,0.0,0.0
31,sqlattack,ExtraTrees,1.0,1.0,1.0,1.0
32,teardrop,Bagging,0.9999102253344108,0.9926470588235294,0.989010989010989,0.996309963099631
33,udpstorm,LDA,0.9988778166801328,0.0384615384615384,0.0196078431372549,1.0
34,warezclient,Bagging,0.999596014004848,0.9659090909090908,0.9770114942528736,0.9550561797752808
35,warezmaster,DecisionTree,0.9996857886704372,0.9756944444444444,0.9790940766550522,0.972318339100346
36,worm,DecisionTree,1.0,1.0,1.0,1.0
37,xlock,GradientBoosting,0.9975311966962924,1.0,0.0,0.0
38,xsnoop,DecisionTree,1.0,1.0,1.0,1.0
39,xterm,Perceptron,0.999932669000808,0.5714285714285715,0.6666666666666666,0.5
