,attack,model,accuracy,f1,precision,recall
0,Bot,DecisionTree,0.9999286544673588,0.9699223449633598,0.9618221258134492,0.9781601588352083
1,DDoS,DecisionTree,0.9999987953778166,0.9999916851118602,0.999993348078426,0.9999900221508252
2,DoS GoldenEye,ExtraTrees,0.9999974052029832,0.9987036556909514,1.0,0.9974106680476436
3,DoS Hulk,DecisionTree,0.9997940936427524,0.998972337087433,0.9986519893651756,0.9992928903980116
4,DoS Slowhttptest,DecisionTree,0.9999943050445916,0.9991660980971876,0.998409211423377,0.999924133222062
5,DoS slowloris,DecisionTree,0.9999979294876672,0.9997100608872136,0.9998550094243874,0.9995651543701984
6,FTP-Patator,ExtraTrees,0.9999746698486162,0.9974108322324968,0.9956746492246018,0.9991530806690664
7,Heartbleed,ExtraTrees,1.0,1.0,1.0,1.0
8,Infiltration,ExtraTrees,1.0,1.0,1.0,1.0
9,PortScan,DecisionTree,0.9994443048298852,0.9965107515096556,0.9930487396164986,0.9999969866992908
10,SSH-Patator,DecisionTree,1.0,1.0,1.0,1.0
11,Web Attack-Brute Force,DecisionTree,1.0,1.0,1.0,1.0
12,Web Attack-Sql Injection,DecisionTree,1.0,1.0,1.0,1.0
13,Web Attack-XSS,DecisionTree,1.0,1.0,1.0,1.0
