,attack,model,accuracy,f1,precision,recall
0,apache2,ExtraTrees,1.0,1.0,1.0,1.0
1,back,GradientBoosting,0.9999574667177066,0.9987325728770596,1.0,0.9974683544303796
2,overflow,Bagging,0.9997406190558532,0.7857142857142856,0.8461538461538461,0.7333333333333333
3,write,GradientBoosting,0.9999134948096886,0.6666666666666666,0.6666666666666666,0.6666666666666666
4,passwd,GradientBoosting,0.9999574504297508,0.9986996098829648,1.0,0.9974025974025974
5,httptunnel,AdaBoost,0.9999136330267304,0.9743589743589745,1.0,0.95
6,imap,GaussianNB,0.9999567474048444,0.8571428571428571,1.0,0.75
7,ipsweep,RandomForest,0.9999587441726144,0.9995545657015592,0.9991095280498664,1.0
8,land,Bagging,0.9999135097733955,0.888888888888889,0.8,1.0
9,loadmodule,Bagging,0.9999567474048444,0.8,1.0,0.6666666666666666
10,mailbomb,ExtraTrees,1.0,1.0,1.0,1.0
11,mscan,ExtraTrees,0.999914584667948,0.9966555183946488,0.9966555183946488,0.9966555183946488
12,multihop,DecisionTree,0.9996107939802802,0.4705882352941176,0.4444444444444444,0.5
13,named,GradientBoosting,0.9998270045843786,0.6666666666666666,0.5714285714285714,0.8
14,neptune,ExtraTrees,0.9999728835620152,0.9999636641110424,1.0,0.9999273308625828
15,nmap,ExtraTrees,0.9997880098363436,0.9946977730646872,0.9915433403805496,0.997872340425532
16,normal,ExtraTrees,1.0,1.0,1.0,1.0
17,perl,ExtraTrees,1.0,1.0,1.0,1.0
18,phf,ExtraTrees,0.9999567436629466,0.6666666666666666,1.0,0.5
19,pod,Bagging,0.9999568761050498,0.993103448275862,1.0,0.9863013698630136
20,portsweep,ExtraTrees,0.9997920392629872,0.9973016729627632,0.9967637540453076,0.9978401727861772
21,processtable,ExtraTrees,1.0,1.0,1.0,1.0
22,ps,AdaBoost,0.9998269971022016,0.5,0.6666666666666666,0.4
23,rootkit,ExtraTrees,0.9998702646600934,0.7272727272727273,1.0,0.5714285714285714
24,saint,ExtraTrees,0.9996984318455971,0.962162162162162,1.0,0.9270833333333334
25,satan,RandomForest,0.9991402955745692,0.991975544516622,0.993114001530222,0.9908396946564886
26,sendmail,ExtraTrees,0.9999567492755504,0.8571428571428571,1.0,0.75
27,smurf,Bagging,1.0,1.0,1.0,1.0
28,snmpgetattack,AdaBoost,0.9981873111782478,0.611111111111111,0.6,0.6226415094339622
29,snmpguess,RandomForest,1.0,1.0,1.0,1.0
30,spy,LogisticRegression,0.999956741791755,0.0,1.0,0.0
31,sqlattack,ExtraTrees,1.0,1.0,1.0,1.0
32,teardrop,ExtraTrees,0.99978621515307,0.990791896869245,0.9889705882352942,0.992619926199262
33,udpstorm,LogisticRegression,0.999956741791755,0.0,1.0,0.0
34,warezclient,RandomForest,0.9998289428669176,0.9924528301886792,1.0,0.9850187265917604
35,warezmaster,Bagging,0.9996154832094336,0.9842381786339756,0.99645390070922,0.972318339100346
36,worm,GradientBoosting,0.99991348358351,0.5,0.3333333333333333,1.0
37,xlock,AdaBoost,0.9999567455339764,0.8,1.0,0.6666666666666666
38,xsnoop,DecisionTree,0.9999567436629466,0.6666666666666666,0.5,1.0
39,xterm,ExtraTrees,0.9999134985511008,0.6666666666666666,1.0,0.5
