,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9988361597838983,0.0011638402161017268,0.02052401746724891,1.0,0.010368409441870726,"[[3849948       0]
 [   4486      47]]"
ExtraTrees,0.9999055644586132,9.443554138676517e-05,0.9598853868194842,0.9590398590618806,0.9607324067946172,"[[3849762     186]
 [    178    4355]]"
LDA,0.9971090790173827,0.0028909209826173746,0.015375099407970312,0.01282429245283019,0.019192587690271344,"[[3843251    6697]
 [   4446      87]]"
QDA,0.9764398890538052,0.023560110946194833,0.09053399030565237,0.047419716950450594,0.9971321420692698,"[[3759149   90799]
 [     13    4520]]"
DecisionTree,0.9999286544673589,7.134553264110007e-05,0.9699223449633598,0.9618221258134491,0.9781601588352085,"[[3849772     176]
 [     99    4434]]"
RandomForest,0.9998746913008522,0.00012530869914782302,0.9449321628092577,0.9778197262859839,0.914184866534304,"[[3849854      94]
 [    389    4144]]"
GradientBoosting,0.9676950022584104,0.0323049977415896,0.056724264622330635,0.029370695200589925,0.8259430840502978,"[[3726218  123730]
 [    789    3744]]"
GaussianNB,0.7584128706303132,0.24158712936968688,0.00962095807555313,0.0048337832609815475,0.9977939554378998,"[[2918765  931183]
 [     10    4523]]"
Perceptron,0.9787289131792322,0.021271086820767827,0.04156876497749723,0.021947365822347308,0.39223472314140745,"[[3770714   79234]
 [   2755    1778]]"
AdaBoost,0.9996271871621627,0.00037281283783731193,0.8312786192321239,0.8885542168674698,0.7809397749834547,"[[3849504     444]
 [    993    3540]]"
