,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9995378666513055,0.0004621333486945317,0.7251967288998611,0.8972890416189385,0.6084930088037286,"[[3849735     269]
 [   1512    2350]]"
ExtraTrees,0.9999974052029832,2.5947970168137656e-06,0.9987036556909514,1.0,0.9974106680476437,"[[3850004       0]
 [     10    3852]]"
LDA,0.9986385100052778,0.001361489994722183,0.5315596821712347,0.4056410955171004,0.7708441222164681,"[[3845642    4362]
 [    885    2977]]"
QDA,0.9989978893921065,0.0010021106078934763,0.0,0.0,0.0,"[[3850004       0]
 [   3862       0]]"
DecisionTree,0.9999974052029832,2.5947970168137656e-06,0.9987036556909514,1.0,0.9974106680476437,"[[3850004       0]
 [     10    3852]]"
RandomForest,0.9999958483247731,4.151675226902025e-06,0.9979242345614945,1.0,0.9958570688762299,"[[3850004       0]
 [     16    3846]]"
GradientBoosting,0.9995967685435871,0.0004032314564128592,0.7793240556660038,0.8628930817610063,0.7105126877265665,"[[3849568     436]
 [   1118    2744]]"
GaussianNB,0.8158062579238614,0.18419374207613862,0.010703265889750787,0.005380592874077312,0.9943034697048162,"[[3140168  709836]
 [     22    3840]]"
Perceptron,0.9995861298758182,0.00041387012418179564,0.7543508393654704,0.9308247814519194,0.634127395132056,"[[3849822     182]
 [   1413    2449]]"
AdaBoost,0.9999374653918948,6.253460810521176e-05,0.9684678791050635,0.9788415763025654,0.9583117555670637,"[[3849924      80]
 [    161    3701]]"
