,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.99884625380656,0.0011537461934400326,0.8196933532909908,0.8780551222048882,0.76860632728928,"[[3848480    1407]
 [   3050   10131]]"
ExtraTrees,0.9999782556248039,2.174437519608767e-05,0.9968203497615261,0.994711792702274,0.9989378651088688,"[[3849817      70]
 [     14   13167]]"
LDA,0.9965299601249576,0.003470039875042324,0.6003875391265464,0.49450009821253194,0.7639784538350656,"[[3839593   10294]
 [   3111   10070]]"
QDA,0.9965879451254805,0.0034120548745194233,0.0,0.0,0.0,"[[3849887       0]
 [  13181       0]]"
DecisionTree,0.9999943050445915,5.694955408499151e-06,0.9991660980971876,0.998409211423377,0.9999241332220621,"[[3849866      21]
 [      1   13180]]"
RandomForest,0.9999823974105555,1.7602589444451923e-05,0.9974269713939761,0.9949422510757152,0.9999241332220621,"[[3849820      67]
 [      1   13180]]"
GradientBoosting,0.9790200431366985,0.020979956863301397,0.10957910811790686,0.06406731757451183,0.37834762157651164,"[[3777034   72853]
 [   8194    4987]]"
GaussianNB,0.49395946434284876,0.5060405356571512,0.013301884744927757,0.006695487189805909,0.9996965328882482,"[[1895022 1954865]
 [      4   13177]]"
Perceptron,0.9990147727143297,0.0009852272856703532,0.8484751970698304,0.8926866046745413,0.8084363857066991,"[[3848606    1281]
 [   2525   10656]]"
AdaBoost,0.9998185380117565,0.00018146198824354115,0.9736555300838063,0.9647006255585344,0.9827782414080874,"[[3849413     474]
 [    227   12954]]"
