,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9983099443083945,0.0016900556916054701,0.694574368568756,0.9792930625164864,0.5381214668792579,"[[3849823     157]
 [   6373    7425]]"
ExtraTrees,0.9999961177893761,3.882210623902305e-06,0.9994561867817133,0.9999274573812115,0.99898536019713,"[[3849979       1]
 [     14   13784]]"
LDA,0.996080002526025,0.003919997473974954,0.3846091337558914,0.4376733863510264,0.34302072764168723,"[[3843899    6081]
 [   9065    4733]]"
QDA,0.9964288838540931,0.0035711161459069337,0.0,0.0,0.0,"[[3849980       0]
 [  13798       0]]"
DecisionTree,0.9999979294876673,2.070512332747896e-06,0.9997100608872136,0.9998550094243874,0.9995651543701985,"[[3849978       2]
 [      6   13792]]"
RandomForest,0.9999976706736257,2.329326374341383e-06,0.9996737593794178,1.0,0.9993477315552979,"[[3849980       0]
 [      9   13789]]"
GradientBoosting,0.9997165986244552,0.0002834013755448683,0.9604935599090811,0.9563187010561104,0.9647050297144514,"[[3849372     608]
 [    487   13311]]"
GaussianNB,0.8128073093226371,0.18719269067736294,0.03646987199042959,0.018576397606565254,0.9920278301203073,"[[3126819  723161]
 [    110   13688]]"
Perceptron,0.9982882039289007,0.001711796071099323,0.6872813238770685,0.9885745375408053,0.5267430062327874,"[[3849896      84]
 [   6530    7268]]"
AdaBoost,0.9999122620398998,8.773796010019209e-05,0.9875828724222556,0.9983707324298304,0.9770256558921583,"[[3849958      22]
 [    317   13481]]"
