,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9973056989997433,0.0026943010002566615,0.6273416273416274,0.9662995594713656,0.4644293881007834,"[[3849709     306]
 [  10118    8774]]"
ExtraTrees,0.9999746698486162,2.533015138384045e-05,0.9974108322324967,0.9956746492246018,0.9991530806690663,"[[3849933      82]
 [     16   18876]]"
LDA,0.9902747726942002,0.009725227305799803,0.3035833271636929,0.2334073315118397,0.4340990895617192,"[[3823080   26935]
 [  10691    8201]]"
QDA,0.9951169671434336,0.004883032856566467,0.0,0.0,0.0,"[[3850015       0]
 [  18892       0]]"
DecisionTree,0.9999713097264938,2.869027350618663e-05,0.9970660534454048,0.9957763581648276,0.9983590937963159,"[[3849935      80]
 [     31   18861]]"
RandomForest,0.9999684665462364,3.153345376355648e-05,0.9967789629316718,0.9943636746734091,0.9992060131272497,"[[3849908     107]
 [     15   18877]]"
GradientBoosting,0.9999351237959455,6.487620405453013e-05,0.9933746865514055,0.9907334281050914,0.9960300656362482,"[[3849839     176]
 [     75   18817]]"
GaussianNB,0.9453207327030606,0.05467926729693942,0.15113857512589532,0.08176777829396109,0.9968769849671819,"[[3638525  211490]
 [     59   18833]]"
Perceptron,0.9976988332880579,0.0023011667119421583,0.7166183913168029,0.8987624750499001,0.5958606817700614,"[[3848747    1268]
 [   7635   11257]]"
AdaBoost,0.9999609708891943,3.902911080571335e-05,0.9960060306292485,0.995400475812847,0.9966123226762651,"[[3849928      87]
 [     64   18828]]"
