,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9999784413176562,2.1558682343724877e-05,0.0,0.0,0.0,"[[3849874       1]
 [     82       0]]"
ExtraTrees,1.0,0.0,1.0,1.0,1.0,"[[3849875       0]
 [      0      82]]"
LDA,0.9999470123952033,5.2987604796625e-05,0.22137404580152673,0.16111111111111112,0.35365853658536583,"[[3849724     151]
 [     53      29]]"
QDA,0.999978701060817,2.1298939182957108e-05,0.0,0.0,0.0,"[[3849875       0]
 [     82       0]]"
DecisionTree,1.0,0.0,1.0,1.0,1.0,"[[3849875       0]
 [      0      82]]"
RandomForest,1.0,0.0,1.0,1.0,1.0,"[[3849875       0]
 [      0      82]]"
GradientBoosting,0.9999896102735693,1.0389726430710784e-05,0.7101449275362318,0.875,0.5975609756097561,"[[3849868       7]
 [     33      49]]"
GaussianNB,0.8729128662995457,0.12708713370045432,0.0003350740840627324,0.00016756511539514716,1.0,"[[3360595  489280]
 [      0      82]]"
Perceptron,0.9999784413176562,2.1558682343724877e-05,0.0,0.0,0.0,"[[3849874       1]
 [     82       0]]"
AdaBoost,0.9999976623115531,2.3376884469099267e-06,0.9419354838709678,1.0,0.8902439024390244,"[[3849875       0]
 [      9      73]]"
