,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9801185945311848,0.019881405468815196,0.8882347169070749,0.801779261844152,0.9955885277615394,"[[3768604   81683]
 [   1464  330398]]"
ExtraTrees,0.9994433483838093,0.0005566516161906235,0.9965047459184501,0.993042754889522,0.999990960097872,"[[3847962    2325]
 [      3  331859]]"
LDA,0.9588496249177157,0.04115037508228425,0.7929189313419833,0.6600213542094435,0.9928283443117922,"[[3680570  169717]
 [   2380  329482]]"
QDA,0.9206479730875203,0.07935202691247968,0.0,0.0,0.0,"[[3850287       0]
 [ 331862       0]]"
DecisionTree,0.9994443048298853,0.0005556951701146946,0.9965107515096555,0.9930487396164986,0.9999969866992907,"[[3847964    2323]
 [      1  331861]]"
RandomForest,0.9994416746031765,0.0005583253968234991,0.9964942940318923,0.9930160535016981,0.9999969866992907,"[[3847953    2334]
 [      1  331861]]"
GradientBoosting,0.9993828531695069,0.0006171468304931269,0.9961243161993371,0.9928102129697532,0.9994606191730298,"[[3847885    2402]
 [    179  331683]]"
GaussianNB,0.9655268140852944,0.03447318591470557,0.821134539896481,0.6979125806138675,0.9971976303403222,"[[3707045  143242]
 [    930  330932]]"
Perceptron,0.9803629665035847,0.01963703349641536,0.889753114096969,0.8023033140704552,0.9985988151701611,"[[3768627   81660]
 [    465  331397]]"
AdaBoost,0.9992824263315343,0.000717573668465662,0.9954940548851442,0.9920903075592479,0.9989212383460595,"[[3847644    2643]
 [    358  331504]]"
