,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9976970575932568,0.0023029424067432724,0.004704301075268817,0.07581227436823104,0.0024274650329441684,"[[3849635     256]
 [   8630      21]]"
ExtraTrees,0.9999870417375267,1.295826247323471e-05,0.9971048060220034,0.9989557953358859,0.995260663507109,"[[3849882       9]
 [     41    8610]]"
LDA,0.9952069978764,0.004793002123600054,0.3140207715133531,0.23119777158774374,0.4893075944977459,"[[3835815   14076]
 [   4418    4233]]"
QDA,0.9977579614268809,0.002242038573119069,0.0,0.0,0.0,"[[3849891       0]
 [   8651       0]]"
DecisionTree,1.0,0.0,1.0,1.0,1.0,"[[3849891       0]
 [      0    8651]]"
RandomForest,0.9999917067120171,8.293287982870213e-06,0.9981470758540822,1.0,0.9963010056640851,"[[3849891       0]
 [     32    8619]]"
GradientBoosting,0.9999289887216467,7.10112783533262e-05,0.9839728591483389,0.9959739490822972,0.9722575424806381,"[[3849857      34]
 [    240    8411]]"
GaussianNB,0.9077602368977712,0.09223976310222877,0.04607331526851978,0.023583481959116477,0.9935267599121489,"[[3494036  355855]
 [     56    8595]]"
Perceptron,0.9972925006388423,0.00270749936115766,0.42915687667340585,0.40694300518134713,0.45393596116055945,"[[3844168    5723]
 [   4724    3927]]"
AdaBoost,0.9999637168650749,3.628313492505718e-05,0.9918519380747294,0.9988278044777869,0.9849728355103456,"[[3849881      10]
 [    130    8521]]"
