,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9990717503021288,0.0009282496978712019,0.0,0.0,0.0,"[[3849912       8]
 [   3569       0]]"
ExtraTrees,0.9999940313829883,5.968617011752207e-06,0.9967701165566634,0.9991554054054054,0.994396189408798,"[[3849917       3]
 [     20    3549]]"
LDA,0.9821883493114941,0.017811650688505924,0.07724883373889195,0.04057107351653628,0.8049873914261698,"[[3781979   67941]
 [    696    2873]]"
QDA,0.9990738263428285,0.000926173657171462,0.0,0.0,0.0,"[[3849920       0]
 [   3569       0]]"
DecisionTree,1.0,0.0,1.0,1.0,1.0,"[[3849920       0]
 [      0    3569]]"
RandomForest,0.9999826131591397,1.7386840860321648e-05,0.9905246782633291,1.0,0.9812272345194732,"[[3849920       0]
 [     67    3502]]"
GradientBoosting,0.9990164757184983,0.0009835242815017767,0.0005274261603375527,0.004484304932735426,0.0002801905295601009,"[[3849698     222]
 [   3568       1]]"
GaussianNB,0.8279092012459358,0.17209079875406416,0.010622584928461664,0.005339725004162286,0.9974782852339591,"[[3186779  663141]
 [      9    3560]]"
Perceptron,0.998890356245989,0.0011096437540109754,0.004191895668374476,0.012413793103448275,0.0025217147660409078,"[[3849204     716]
 [   3560       9]]"
AdaBoost,0.999277797341578,0.000722202658422017,0.3911616714066944,0.8922155688622755,0.25049033342673016,"[[3849812     108]
 [   2675     894]]"
