,accuracy,loss,f1,precision,recall,confusion_matrix
ExtraTrees,0.9991536641744159,0.0008463358255840955,0.9947986844583533,0.995029345699587,0.9945681301331171,"[[778983    343]
 [   375  68662]]"
LDA,0.9630959860342801,0.036904013965719865,0.7395341098169718,0.8687137188984226,0.643799701609282,"[[772609   6717]
 [ 24591  44446]]"
QDA,0.986643689081207,0.013356310918793017,0.9239606750998222,0.8607617094701043,0.9971754276692208,"[[768190  11136]
 [   195  68842]]"
DecisionTree,0.9997194597124108,0.000280540287589157,0.9982763615295481,0.9982329852410816,0.9983197415878442,"[[779204    122]
 [   116  68921]]"
RandomForest,0.999523788755521,0.0004762112444790732,0.997070340826686,0.9983300175711195,0.9958138389559222,"[[779211    115]
 [   289  68748]]"
GradientBoosting,0.9994023784629928,0.0005976215370071538,0.9963321734223644,0.9952162099664701,0.9974506424091429,"[[778995    331]
 [   176  68861]]"
KNeighbors,0.997350190897057,0.002649809102942962,0.9838289668666466,0.9772210869285622,0.9905268189521561,"[[777732   1594]
 [   654  68383]]"
GaussianNB,0.8556525921097454,0.14434740789025452,0.5289549299350317,0.3601049566346839,0.9959442038327274,"[[657147 122179]
 [   280  68757]]"
Perceptron,0.9687256516373298,0.03127434836267023,0.7636094727275967,0.9919446309113215,0.6207251184147631,"[[778978    348]
 [ 26184  42853]]"
AdaBoost,0.9982424976101032,0.0017575023898967776,0.9892652723280175,0.9834521457814424,0.9951475295855845,"[[778170   1156]
 [   335  68702]]"
