,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.999601966953131,0.00039803304686897545,0.0,0.0,0.0,"[[3849906       0]
 [   1533       0]]"
ExtraTrees,0.9999989614271445,1.0385728554963482e-06,0.9986953685583823,0.9986953685583823,0.9986953685583823,"[[3849904       2]
 [      2    1531]]"
LDA,0.9834508608340934,0.01654913916590656,0.042771753822124774,0.021889843665933932,0.928897586431833,"[[3786277   63629]
 [    109    1424]]"
QDA,0.999601966953131,0.00039803304686897545,0.0,0.0,0.0,"[[3849906       0]
 [   1533       0]]"
DecisionTree,1.0,0.0,1.0,1.0,1.0,"[[3849906       0]
 [      0    1533]]"
RandomForest,0.9999909124875144,9.087512485593047e-06,0.9884526558891454,1.0,0.9771689497716894,"[[3849906       0]
 [     35    1498]]"
GradientBoosting,0.9996131316113276,0.00038686838867238975,0.11097852028639618,0.6503496503496503,0.060665362035225046,"[[3849856      50]
 [   1440      93]]"
GaussianNB,0.8343743727993614,0.1656256272006385,0.004590856673829153,0.0023009325737596707,0.95955642530985,"[[3212071  637835]
 [     62    1471]]"
Perceptron,0.999601966953131,0.00039803304686897545,0.0,0.0,0.0,"[[3849906       0]
 [   1533       0]]"
AdaBoost,0.999624815555952,0.0003751844440480558,0.11512553582363748,0.94,0.06131767775603392,"[[3849900       6]
 [   1439      94]]"
