,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9616095940063393,0.03839040599366073,0.7368820739855068,0.8316192560175055,0.6615221711318374,"[[770188   9234]
 [ 23335  45606]]"
ExtraTrees,0.9992008138025822,0.0007991861974178506,0.9950839641520925,0.9948387096774194,0.9953293395802207,"[[779066    356]
 [   322  68619]]"
LDA,0.9634861492073559,0.03651385079264419,0.7427394507146357,0.8687973576840878,0.6486270869294034,"[[772669   6753]
 [ 24224  44717]]"
QDA,0.983993879978264,0.01600612002173598,0.910141283128743,0.8368583736948426,0.9974906079111124,"[[766016  13406]
 [   173  68768]]"
DecisionTree,0.9997642518591687,0.00023574814083122437,0.9985495474588072,0.9985060988875513,0.998592999811433,"[[779319    103]
 [    97  68844]]"
RandomForest,0.9996569864550906,0.00034301354490943146,0.9978893007129956,0.9979834029712163,0.9977952161993588,"[[779283    139]
 [   152  68789]]"
GradientBoosting,0.9995049289042545,0.0004950710957455712,0.9969535636052398,0.997069278200943,0.9968378758648699,"[[779220    202]
 [   218  68723]]"
GaussianNB,0.2923830954438136,0.7076169045561864,0.1861446273148776,0.10266809635116401,0.9958080097474652,"[[179395 600027]
 [   289  68652]]"
Perceptron,0.9549343853987031,0.04506561460129685,0.7493805309734514,0.683646497386645,0.8291002451371463,"[[752972  26450]
 [ 11782  57159]]"
AdaBoost,0.9990959058799123,0.0009040941200877454,0.9944495502471288,0.9922594806920255,0.9966493088292888,"[[778886    536]
 [   231  68710]]"
