,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.999139519285966,0.0008604807140339689,0.7694251421351863,0.8034300791556728,0.7381818181818182,"[[846415    298]
 [   432   1218]]"
ExtraTrees,0.9999210243728215,7.897562717846016e-05,0.9799701046337818,0.9669616519174041,0.9933333333333333,"[[846657     56]
 [    11   1639]]"
LDA,0.9966288015861134,0.0033711984138865086,0.47173993350572596,0.33926673751328373,0.7739393939393939,"[[844226   2487]
 [   373   1277]]"
QDA,0.9890306390071232,0.01096936099287687,0.2603719599427754,0.14983534577387486,0.9927272727272727,"[[837419   9294]
 [    12   1638]]"
DecisionTree,0.9999387054833839,6.129451661611833e-05,0.9842615012106537,0.9830713422007256,0.9854545454545455,"[[846685     28]
 [    24   1626]]"
RandomForest,0.9999363480019756,6.365199802443059e-05,0.9837837837837837,0.975,0.9927272727272727,"[[846671     42]
 [    12   1638]]"
GradientBoosting,0.9985749024886752,0.0014250975113247514,0.42346208869814017,0.9932885906040269,0.2690909090909091,"[[846710      3]
 [  1206    444]]"
GaussianNB,0.7133691591924683,0.2866308408075317,0.013389216406253169,0.006739728041761805,1.0,"[[603546 243167]
 [     0   1650]]"
Perceptron,0.9990534712145627,0.0009465287854373658,0.7072548304775794,0.8874656907593779,0.5878787878787879,"[[846590    123]
 [   680    970]]"
AdaBoost,0.999917488150709,8.251184929092853e-05,0.9790544584081389,0.966903073286052,0.9915151515151515,"[[846657     56]
 [    14   1636]]"
