,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.99823306768447,0.0017669323155300267,0.4187669639395114,0.6164383561643836,0.31708749266001174,"[[846324    336]
 [  1163    540]]"
ExtraTrees,0.9999834976301418,1.6502369858185706e-05,0.9958823529411764,0.9976428992339422,0.994128009395185,"[[846656      4]
 [    10   1693]]"
LDA,0.9975600067423969,0.0024399932576031724,0.33440514469453375,0.3695806680881308,0.3053435114503817,"[[845773    887]
 [  1183    520]]"
QDA,0.999856193634093,0.00014380636590704686,0.9651428571428572,0.9398998330550918,0.991779213153259,"[[846552    108]
 [    14   1689]]"
DecisionTree,0.9999563865939463,4.361340605377651e-05,0.9891654465592973,0.9865654205607477,0.991779213153259,"[[846637     23]
 [    14   1689]]"
RandomForest,0.9999799614080294,2.0038591970654072e-05,0.9950014701558365,0.9964664310954063,0.9935408103347034,"[[846654      6]
 [    11   1692]]"
GradientBoosting,0.9998856621516968,0.00011433784830314382,0.971579255786698,0.9695906432748538,0.9735760422783324,"[[846608     52]
 [    45   1658]]"
GaussianNB,0.3040538071556633,0.6959461928443367,0.005705595963644508,0.0028610032089174124,0.9947152084556665,"[[256254 590406]
 [     9   1694]]"
Perceptron,0.993469776498975,0.006530223501024915,0.16691729323308271,0.11218920557913888,0.3258954785672343,"[[842268   4392]
 [  1148    555]]"
AdaBoost,0.9999434204462005,5.657955379949385e-05,0.9857651245551602,0.9958058717795086,0.9759248385202584,"[[846653      7]
 [    41   1662]]"
