,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9971403750517173,0.0028596249482827516,0.0,0.0,0.0,"[[845937     46]
 [  2380      0]]"
ExtraTrees,0.9999988212592958,1.1787407041561218e-06,0.9997898718218113,1.0,0.9995798319327731,"[[845983      0]
 [     1   2379]]"
LDA,0.9804446917180499,0.01955530828195006,0.12481536189069425,0.07136824324324324,0.4970588235294118,"[[830590  15393]
 [  1197   1183]]"
QDA,0.9999504928904255,4.9507109574557116e-05,0.9911054637865311,0.9991460290350128,0.9831932773109243,"[[845981      2]
 [    40   2340]]"
DecisionTree,0.9999941062964792,5.8937035207806095e-06,0.9989502414444678,0.9983214435585397,0.9995798319327731,"[[845979      4]
 [     1   2379]]"
RandomForest,0.9999964637778875,3.5362221124683655e-06,0.9993696154654339,0.9995796553173603,0.9991596638655462,"[[845982      1]
 [     2   2378]]"
GradientBoosting,0.9999964637778875,3.5362221124683655e-06,0.9993698802772527,0.999160016799664,0.9995798319327731,"[[845981      2]
 [     1   2379]]"
GaussianNB,0.9589845384581835,0.041015461541816414,0.12006878413918674,0.06387902271014961,0.9974789915966387,"[[811193  34790]
 [     6   2374]]"
Perceptron,0.9993092579473645,0.0006907420526354874,0.8882106066386874,0.8134171907756813,0.9781512605042016,"[[845449    534]
 [    52   2328]]"
AdaBoost,0.9999952850371834,4.714962816624487e-06,0.9991600167996639,0.9987405541561712,0.9995798319327731,"[[845980      3]
 [     1   2379]]"
