,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9999976425185917,2.3574814083122436e-06,0.5,1.0,0.3333333333333333,"[[848360      0]
 [     2      1]]"
ExtraTrees,1.0,0.0,1.0,1.0,1.0,"[[848360      0]
 [     0      3]]"
LDA,0.9999823188894377,1.7681110562341826e-05,0.2857142857142857,0.16666666666666666,1.0,"[[848345     15]
 [     0      3]]"
QDA,0.9999964637778875,3.5362221124683655e-06,0.0,0.0,0.0,"[[848360      0]
 [     3      0]]"
DecisionTree,1.0,0.0,1.0,1.0,1.0,"[[848360      0]
 [     0      3]]"
RandomForest,1.0,0.0,1.0,1.0,1.0,"[[848360      0]
 [     0      3]]"
GradientBoosting,1.0,0.0,1.0,1.0,1.0,"[[848360      0]
 [     0      3]]"
GaussianNB,1.0,0.0,1.0,1.0,1.0,"[[848360      0]
 [     0      3]]"
Perceptron,1.0,0.0,1.0,1.0,1.0,"[[848360      0]
 [     0      3]]"
AdaBoost,1.0,0.0,1.0,1.0,1.0,"[[848360      0]
 [     0      3]]"
