,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9999870338522543,1.296614774571734e-05,0.0,0.0,0.0,"[[848352      0]
 [    11      0]]"
ExtraTrees,0.9999952850371834,4.714962816624487e-06,0.7777777777777778,1.0,0.6363636363636364,"[[848352      0]
 [     4      7]]"
LDA,0.9999552078532421,4.479214675793263e-05,0.09523809523809523,0.06451612903225806,0.18181818181818182,"[[848323     29]
 [     9      2]]"
QDA,0.9999870338522543,1.296614774571734e-05,0.0,0.0,0.0,"[[848352      0]
 [    11      0]]"
DecisionTree,0.9999941062964792,5.8937035207806095e-06,0.761904761904762,0.8,0.7272727272727273,"[[848350      2]
 [     3      8]]"
RandomForest,0.9999941062964792,5.8937035207806095e-06,0.7058823529411764,1.0,0.5454545454545454,"[[848352      0]
 [     5      6]]"
GradientBoosting,0.9999410629647922,5.8937035207806094e-05,0.07407407407407407,0.046511627906976744,0.18181818181818182,"[[848311     41]
 [     9      2]]"
GaussianNB,0.9500284665880053,0.04997153341199463,0.0004244081863623503,0.00021225914483148983,0.8181818181818182,"[[805960  42392]
 [     2      9]]"
Perceptron,0.9999752464452127,2.4753554787278558e-05,0.3225806451612903,0.25,0.45454545454545453,"[[848337     15]
 [     6      5]]"
AdaBoost,0.9999952850371834,4.714962816624487e-06,0.7999999999999999,0.8888888888888888,0.7272727272727273,"[[848351      1]
 [     3      8]]"
