,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9979065565094187,0.0020934434905812726,0.001124859392575928,0.1111111111111111,0.0005652911249293386,"[[846586      8]
 [  1768      1]]"
ExtraTrees,0.9999834976301418,1.6502369858185706e-05,0.9960339943342775,0.9982964224872232,0.9937817976257772,"[[846591      3]
 [    11   1758]]"
LDA,0.994820613345938,0.005179386654061999,0.09364686468646866,0.07372523546606041,0.12832108535895986,"[[843742   2852]
 [  1542    227]]"
QDA,0.999977603926621,2.2396073378966315e-05,0.9946099290780142,0.9982915717539863,0.9909553420011306,"[[846591      3]
 [    16   1753]]"
DecisionTree,0.9999728889638044,2.7111036195590804e-05,0.9934788772327756,0.9965870307167235,0.9903900508762012,"[[846588      6]
 [    17   1752]]"
RandomForest,0.9999905700743668,9.429925633248975e-06,0.9977337110481587,1.0,0.9954776710005653,"[[846594      0]
 [     8   1761]]"
GradientBoosting,0.999969352741692,3.0647258308059167e-05,0.9926470588235294,0.9932088285229203,0.9920859242509893,"[[846582     12]
 [    14   1755]]"
GaussianNB,0.9501263020664503,0.04987369793354967,0.07696502977813652,0.04002722940776038,0.9971735443753533,"[[804288  42306]
 [     5   1764]]"
Perceptron,0.9977462477736535,0.002253752226346505,0.0062370062370062365,0.03870967741935484,0.0033917467495760316,"[[846445    149]
 [  1763      6]]"
AdaBoost,0.999977603926621,2.2396073378966315e-05,0.9946068691456147,0.9988597491448119,0.9903900508762012,"[[846592      2]
 [    17   1752]]"
