,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9996499140108657,0.0003500859891343682,0.19073569482288827,0.19886363636363635,0.18324607329842932,"[[848031    141]
 [   156     35]]"
ExtraTrees,0.9998396912642348,0.00016030873576523258,0.5750000000000001,0.7131782945736435,0.4816753926701571,"[[848135     37]
 [    99     92]]"
LDA,0.9851891230522783,0.01481087694772167,0.0274015016642155,0.01390634820867379,0.9267015706806283,"[[835621  12551]
 [    14    177]]"
QDA,0.9995296824590417,0.00047031754095829264,0.47706422018348627,0.3181818181818182,0.9528795811518325,"[[847782    390]
 [     9    182]]"
DecisionTree,0.9998597298562054,0.0001402701437945785,0.6826666666666666,0.6956521739130435,0.6701570680628273,"[[848116     56]
 [    63    128]]"
RandomForest,0.9998668023004303,0.00013319769956964176,0.6626865671641791,0.7708333333333334,0.581151832460733,"[[848139     33]
 [    80    111]]"
GradientBoosting,0.9993410839463768,0.0006589160536232721,0.380952380952381,0.24157303370786518,0.900523560209424,"[[847632    540]
 [    19    172]]"
GaussianNB,0.7492276301536017,0.2507723698463983,0.0017548798798798799,0.0008782270146386824,0.9790575916230366,"[[635430 212742]
 [     4    187]]"
Perceptron,0.9981894542784162,0.0018105457215838031,0.0,0.0,0.0,"[[846827   1345]
 [   191      0]]"
AdaBoost,0.999856193634093,0.00014380636590704686,0.6592178770949721,0.7065868263473054,0.6178010471204188,"[[848123     49]
 [    73    118]]"
