,accuracy,loss,f1,precision,recall,confusion_matrix
LogisticRegression,0.9997689668219853,0.0002310331780145999,0.0,0.0,0.0,"[[848167      0]
 [   196      0]]"
ExtraTrees,0.9998432274863472,0.0001567725136527642,0.6122448979591837,0.7142857142857143,0.5357142857142857,"[[848125     42]
 [    91    105]]"
LDA,0.985556890151975,0.014443109848024962,0.029465346534653467,0.014965001206854936,0.9489795918367347,"[[835924  12243]
 [    10    186]]"
QDA,0.99953203994045,0.00046796005954998036,0.487741935483871,0.32642487046632124,0.9642857142857143,"[[847777    390]
 [     7    189]]"
DecisionTree,0.999856193634093,0.00014380636590704686,0.7009803921568628,0.6745283018867925,0.7295918367346939,"[[848098     69]
 [    53    143]]"
RandomForest,0.9998609085969096,0.00013909140309042238,0.6647727272727272,0.75,0.5969387755102041,"[[848128     39]
 [    79    117]]"
GradientBoosting,0.999040505066817,0.0009594949331830832,0.3159663865546219,0.1891348088531187,0.9591836734693877,"[[847361    806]
 [     8    188]]"
GaussianNB,0.9002384592444508,0.09976154075554922,0.004469852024372456,0.0022400905468178923,0.9693877551020408,"[[763539  84628]
 [     6    190]]"
Perceptron,0.9997689668219853,0.0002310331780145999,0.0,0.0,0.0,"[[848167      0]
 [   196      0]]"
AdaBoost,0.9997713243033937,0.00022867569660628764,0.03,0.75,0.015306122448979591,"[[848166      1]
 [   193      3]]"
